<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
CAG,20210601,14.4000,14.5000,14.2000,14.5000,2700,14.4000,14.5000,14.2000,14.5000,0,0,0
CAG,20210531,14.6000,14.6000,13.5000,14.5000,11400,14.6000,14.6000,13.5000,14.5000,0,0,0
CAG,20210528,14.6000,14.6000,14.6000,14.6000,2000,14.6000,14.6000,14.6000,14.6000,0,0,0
CAG,20210527,15.0000,15.0000,14.5000,14.6000,1600,15.0000,15.0000,14.5000,14.6000,0,0,0
CAG,20210526,14.9000,14.9000,14.5000,14.9000,1500,14.9000,14.9000,14.5000,14.9000,0,0,0
CAG,20210525,14.9000,14.9000,14.2000,14.9000,9900,14.9000,14.9000,14.2000,14.9000,0,0,0
CAG,20210524,14.9000,14.9000,14.9000,14.9000,1700,14.9000,14.9000,14.9000,14.9000,0,0,0
CAG,20210521,14.5000,14.9000,14.2000,14.9000,4600,14.5000,14.9000,14.2000,14.9000,0,0,0
CAG,20210520,15.0000,15.0000,15.0000,15.0000,1300,15.0000,15.0000,15.0000,15.0000,0,0,0
CAG,20210519,15.1000,15.1000,15.1000,15.1000,1100,15.1000,15.1000,15.1000,15.1000,0,0,0
CAG,20210518,15.3000,15.5000,15.3000,15.5000,4100,15.3000,15.5000,15.3000,15.5000,0,0,0
CAG,20210517,15.5000,15.6000,15.2000,15.3000,6400,15.5000,15.6000,15.2000,15.3000,0,0,0
CAG,20210514,15.5000,15.5000,15.5000,15.5000,200,15.5000,15.5000,15.5000,15.5000,0,0,0
CAG,20210512,14.5000,15.5000,14.1000,15.5000,2500,14.5000,15.5000,14.1000,15.5000,0,0,0
CAG,20210511,14.8000,15.5000,14.8000,15.5000,2600,14.8000,15.5000,14.8000,15.5000,0,0,0
CAG,20210510,14.8000,15.5000,14.8000,15.5000,1100,14.8000,15.5000,14.8000,15.5000,0,0,0
CAG,20210507,15.6000,15.6000,15.5000,15.5000,4400,15.6000,15.6000,15.5000,15.5000,0,0,0
CAG,20210506,15.6000,15.7000,15.6000,15.6000,7100,15.6000,15.7000,15.6000,15.6000,0,0,0
CAG,20210505,14.5000,15.7000,14.5000,15.7000,1500,14.5000,15.7000,14.5000,15.7000,0,0,0
CAG,20210504,15.7000,15.7000,14.5000,14.5000,5900,15.7000,15.7000,14.5000,14.5000,0,0,0
CAG,20210429,15.1000,15.7000,15.1000,15.7000,6900,15.1000,15.7000,15.1000,15.7000,0,0,0
CAG,20210428,15.9000,15.9000,15.5000,15.8000,3200,15.9000,15.9000,15.5000,15.8000,0,0,0
CAG,20210426,15.7000,15.9000,15.7000,15.9000,1700,15.7000,15.9000,15.7000,15.9000,0,0,0
CAG,20210423,16.0000,16.0000,15.1000,15.9000,5500,16.0000,16.0000,15.1000,15.9000,0,0,0
CAG,20210422,16.0000,16.1000,14.8000,16.0000,9700,16.0000,16.1000,14.8000,16.0000,0,0,0
CAG,20210420,15.5000,16.2000,15.0000,16.2000,6500,15.5000,16.2000,15.0000,16.2000,0,0,0
CAG,20210419,16.2000,16.3000,15.5000,15.5000,17900,16.2000,16.3000,15.5000,15.5000,0,0,0
CAG,20210416,17.0000,17.0000,16.5000,16.8000,2600,17.0000,17.0000,16.5000,16.8000,0,0,0
CAG,20210415,16.7000,17.0000,15.5000,17.0000,23726,16.7000,17.0000,15.5000,17.0000,0,0,0
CAG,20210414,17.1000,17.1000,16.5000,17.0000,4800,17.1000,17.1000,16.5000,17.0000,0,0,0
CAG,20210413,16.8000,17.1000,16.6000,17.1000,9900,16.8000,17.1000,16.6000,17.1000,0,0,0
CAG,20210412,17.1000,17.2000,16.8000,16.8000,37200,17.1000,17.2000,16.8000,16.8000,0,0,0
CAG,20210409,17.0000,17.2000,17.0000,17.1000,14800,17.0000,17.2000,17.0000,17.1000,0,0,0
CAG,20210408,16.6000,17.5000,16.5000,17.0000,10000,16.6000,17.5000,16.5000,17.0000,0,0,0
CAG,20210407,16.8000,17.5000,16.5000,17.0000,32100,16.8000,17.5000,16.5000,17.0000,0,0,0
CAG,20210406,17.6000,18.5000,16.5000,16.6000,40300,17.6000,18.5000,16.5000,16.6000,0,0,0
CAG,20210405,16.9000,16.9000,16.9000,16.9000,2000,16.9000,16.9000,16.9000,16.9000,0,0,0
CAG,20210402,16.5000,17.0000,16.3000,17.0000,19200,16.5000,17.0000,16.3000,17.0000,0,0,0
CAG,20210401,17.0000,17.5000,16.5000,17.5000,2500,17.0000,17.5000,16.5000,17.5000,0,0,0
CAG,20210331,17.3000,17.3000,16.9000,17.0000,7000,17.3000,17.3000,16.9000,17.0000,0,0,0
CAG,20210330,17.3000,17.3000,17.1000,17.3000,3500,17.3000,17.3000,17.1000,17.3000,0,0,0
CAG,20210329,17.3000,17.3000,17.0000,17.3000,5126,17.3000,17.3000,17.0000,17.3000,197700,0,0
CAG,20210326,17.3000,17.3000,17.0000,17.3000,3000,17.3000,17.3000,17.0000,17.3000,0,0,0
CAG,20210325,17.3000,17.3000,16.0000,17.3000,11873,17.3000,17.3000,16.0000,17.3000,200000,0,0
CAG,20210324,17.5000,17.5000,17.3000,17.3000,6600,17.5000,17.5000,17.3000,17.3000,100000,0,0
CAG,20210323,17.9000,17.9000,17.5000,17.5000,5000,17.9000,17.9000,17.5000,17.5000,200000,0,0
CAG,20210322,17.4000,18.1000,17.3000,17.9000,26001,17.4000,18.1000,17.3000,17.9000,0,0,0
CAG,20210319,17.5000,17.8000,17.3000,17.4000,11200,17.5000,17.8000,17.3000,17.4000,0,0,0
CAG,20210318,17.8000,17.8000,16.7000,17.5000,18200,17.8000,17.8000,16.7000,17.5000,0,0,0
CAG,20210317,17.9000,17.9000,17.9000,17.9000,10800,17.9000,17.9000,17.9000,17.9000,0,0,0
CAG,20210316,17.1000,18.7000,17.1000,17.9000,3900,17.1000,18.7000,17.1000,17.9000,0,0,0
CAG,20210315,17.0000,17.5000,15.3000,17.1000,55500,17.0000,17.5000,15.3000,17.1000,0,0,0
CAG,20210312,17.0000,17.0000,16.2000,17.0000,1300,17.0000,17.0000,16.2000,17.0000,0,0,0
CAG,20210311,17.8000,17.8000,17.0000,17.0000,1200,17.8000,17.8000,17.0000,17.0000,0,0,0
CAG,20210310,17.7000,17.9000,17.5000,17.9000,400,17.7000,17.9000,17.5000,17.9000,0,0,0
CAG,20210309,18.0000,18.0000,17.5000,17.8000,10800,18.0000,18.0000,17.5000,17.8000,0,0,0
CAG,20210308,17.5000,18.0000,17.5000,18.0000,34700,17.5000,18.0000,17.5000,18.0000,0,0,0
CAG,20210305,16.0000,17.0000,16.0000,17.0000,3700,16.0000,17.0000,16.0000,17.0000,0,0,0
CAG,20210304,16.4000,16.4000,15.5000,15.5000,5400,16.4000,16.4000,15.5000,15.5000,0,0,0
CAG,20210303,16.6000,16.6000,16.2000,16.3000,2200,16.6000,16.6000,16.2000,16.3000,0,0,0
CAG,20210302,17.8000,18.0000,17.8000,18.0000,1000,17.8000,18.0000,17.8000,18.0000,0,0,0
CAG,20210301,18.0000,18.0000,18.0000,18.0000,10200,18.0000,18.0000,18.0000,18.0000,0,0,0
CAG,20210226,17.9000,17.9000,17.8000,17.8000,23100,17.9000,17.9000,17.8000,17.8000,0,0,0
CAG,20210225,15.2000,16.3000,15.1000,16.3000,1700,15.2000,16.3000,15.1000,16.3000,0,0,0
CAG,20210224,16.3000,16.3000,14.9000,14.9000,600,16.3000,16.3000,14.9000,14.9000,0,0,0
CAG,20210222,16.4000,16.4000,16.4000,16.4000,1000,16.4000,16.4000,16.4000,16.4000,0,0,0
CAG,20210219,0.0000,16.4000,16.4000,16.4000,200,0.0000,16.4000,16.4000,16.4000,0,0,0
CAG,20210218,15.6000,15.6000,15.6000,15.6000,300,15.6000,15.6000,15.6000,15.6000,0,0,0
CAG,20210209,16.0000,16.0000,15.6000,15.6000,200,16.0000,16.0000,15.6000,15.6000,0,0,0
CAG,20210208,18.0000,18.0000,16.4000,16.6000,1800,18.0000,18.0000,16.4000,16.6000,0,0,0
CAG,20210205,17.1000,18.0000,17.1000,18.0000,300,17.1000,18.0000,17.1000,18.0000,0,0,0
CAG,20210204,17.8000,17.8000,16.2000,17.8000,2200,17.8000,17.8000,16.2000,17.8000,0,0,0
CAG,20210203,15.0000,17.8000,14.6000,17.8000,400,15.0000,17.8000,14.6000,17.8000,0,0,0
CAG,20210202,16.3000,16.3000,16.2000,16.2000,2300,16.3000,16.3000,16.2000,16.2000,0,0,0
CAG,20210201,16.2000,18.0000,16.2000,18.0000,2700,16.2000,18.0000,16.2000,18.0000,0,0,0
CAG,20210129,18.0000,18.0000,18.0000,18.0000,800,18.0000,18.0000,18.0000,18.0000,0,0,0
CAG,20210127,19.9000,19.9000,19.9000,19.9000,1000,19.9000,19.9000,19.9000,19.9000,0,0,0
CAG,20210126,22.1000,22.1000,22.1000,22.1000,5100,22.1000,22.1000,22.1000,22.1000,0,0,0
CAG,20210125,24.5000,24.5000,24.5000,24.5000,4300,24.5000,24.5000,24.5000,24.5000,0,0,0
CAG,20210122,27.2000,27.2000,27.2000,27.2000,1200,27.2000,27.2000,27.2000,27.2000,0,0,0
CAG,20210121,30.2000,30.2000,30.2000,30.2000,1900,30.2000,30.2000,30.2000,30.2000,0,0,0
CAG,20210120,33.5000,33.5000,33.5000,33.5000,1600,33.5000,33.5000,33.5000,33.5000,0,0,0
CAG,20210119,37.2000,41.3000,37.2000,37.2000,1000,37.2000,41.3000,37.2000,37.2000,0,0,0
CAG,20210118,41.3000,41.3000,41.3000,41.3000,100,41.3000,41.3000,41.3000,41.3000,0,0,0
CAG,20210115,45.8000,50.8000,45.8000,45.8000,2200,45.8000,50.8000,45.8000,45.8000,0,0,0
CAG,20210114,50.8000,50.8000,50.8000,50.8000,100,50.8000,50.8000,50.8000,50.8000,0,0,0
CAG,20210113,56.4000,56.4000,56.4000,56.4000,100,56.4000,56.4000,56.4000,56.4000,0,0,0
CAG,20210111,69.5000,62.6000,62.6000,62.6000,200,69.5000,62.6000,62.6000,62.6000,0,0,0
CAG,20210107,69.5000,69.5000,69.5000,69.5000,400,69.5000,69.5000,69.5000,69.5000,0,0,0
CAG,20210106,77.2000,77.2000,77.2000,77.2000,100,77.2000,77.2000,77.2000,77.2000,0,0,0
CAG,20190924,85.6772,85.6772,85.6772,85.6772,100,85.9000,85.9000,85.9000,85.9000,0,0,0
CAG,20190911,95.1526,95.1526,95.1526,95.1526,200,95.4000,95.4000,95.4000,95.4000,0,0,0
CAG,20190910,105.6253,105.6253,105.6253,105.6254,300,105.9000,105.9000,105.9000,105.9000,0,0,0
CAG,20181204,106.6410,117.2951,106.6410,117.2951,200,107.1000,117.8000,107.1000,117.8000,0,0,0
CAG,20180608,106.6482,106.6482,106.6482,106.6481,100,107.3000,107.3000,107.3000,107.3000,0,0,0
CAG,20180525,118.4759,118.4759,118.4759,118.4759,100,119.2000,119.2000,119.2000,119.2000,0,0,0
CAG,20180521,107.9403,107.9403,107.9403,107.9403,100,108.6000,108.6000,108.6000,108.6000,0,0,0
CAG,20180518,98.1998,98.1998,98.1998,98.1998,100,98.8000,98.8000,98.8000,98.8000,0,0,0
CAG,20180517,89.3538,89.3538,89.3538,89.3539,100,89.9000,89.9000,89.9000,89.9000,0,0,0
CAG,20180516,81.5018,81.5018,81.5018,81.5018,100,82.0000,82.0000,82.0000,82.0000,0,0,0
CAG,20180515,74.1468,74.1468,74.1468,74.1468,100,74.6000,74.6000,74.6000,74.6000,0,0,0
CAG,20180508,67.4875,67.4875,67.4875,67.4875,100,67.9000,67.9000,67.9000,67.9000,0,0,0
CAG,20180504,61.4246,61.4246,61.4246,61.4246,100,61.8000,61.8000,61.8000,61.8000,0,0,0
CAG,20180503,55.8586,55.8586,55.8586,55.8586,100,56.2000,56.2000,56.2000,56.2000,0,0,0
CAG,20180427,50.8890,50.8890,50.8890,50.8890,100,51.2000,51.2000,51.2000,51.2000,0,0,0
CAG,20180419,46.3169,46.3169,46.3169,46.3169,100,46.6000,46.6000,46.6000,46.6000,0,0,0
CAG,20180330,51.4854,51.4854,42.1424,42.1424,300,51.8000,51.8000,42.4000,42.4000,0,0,0
CAG,20180328,46.8139,46.8139,46.8139,46.8139,100,47.1000,47.1000,47.1000,47.1000,0,0,0
CAG,20180316,42.6394,42.6394,42.6394,42.6394,100,42.9000,42.9000,42.9000,42.9000,0,0,0
CAG,20180313,40.9497,40.9497,39.7570,39.7570,600,41.2000,41.2000,40.0000,40.0000,0,0,0
CAG,20180309,37.6697,37.6697,37.1728,37.2722,300,37.9000,37.9000,37.4000,37.5000,0,0,0
CAG,20180308,34.2904,34.2904,34.2904,34.2904,100,34.5000,34.5000,34.5000,34.5000,0,0,0
CAG,20180307,31.2093,31.2093,31.2093,31.2092,100,31.4000,31.4000,31.4000,31.4000,0,0,0
CAG,20180302,28.4262,28.4262,28.4262,28.4263,100,28.6000,28.6000,28.6000,28.6000,0,0,0
CAG,20180301,25.8420,25.8420,25.8420,25.8420,100,26.0000,26.0000,26.0000,26.0000,0,0,0
CAG,20180227,23.5561,23.5561,23.5561,23.5560,100,23.7000,23.7000,23.7000,23.7000,0,0,0
CAG,20180222,21.6676,21.6676,21.6676,21.6676,100,21.8000,21.8000,21.8000,21.8000,0,0,0
CAG,20180208,19.7791,19.7791,19.7791,19.7791,100,19.9000,19.9000,19.9000,19.9000,0,0,0
