<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DL1,20210601,10.3000,10.3000,10.3000,10.3000,300,10.3000,10.3000,10.3000,10.3000,0,0,0
DL1,20210531,9.9000,9.9000,9.2000,9.4000,6900,9.9000,9.9000,9.2000,9.4000,0,0,0
DL1,20210528,9.7000,10.0000,9.7000,10.0000,1000,9.7000,10.0000,9.7000,10.0000,0,0,0
DL1,20210527,10.7000,10.7000,9.7000,10.7000,8200,10.7000,10.7000,9.7000,10.7000,0,0,0
DL1,20210526,10.7000,10.7000,10.5000,10.7000,1800,10.7000,10.7000,10.5000,10.7000,0,0,0
DL1,20210525,10.7000,10.7000,10.7000,10.7000,2900,10.7000,10.7000,10.7000,10.7000,0,0,0
DL1,20210524,10.7000,10.7000,10.7000,10.7000,100,10.7000,10.7000,10.7000,10.7000,0,0,0
DL1,20210521,11.0000,11.0000,10.6000,10.7000,2900,11.0000,11.0000,10.6000,10.7000,0,300,0
DL1,20210519,11.6000,11.6000,11.6000,11.6000,305,11.6000,11.6000,11.6000,11.6000,0,0,0
DL1,20210518,12.0000,12.0000,12.0000,12.0000,8,12.0000,12.0000,12.0000,12.0000,0,0,0
DL1,20210517,11.9000,12.0000,11.9000,12.0000,1500,11.9000,12.0000,11.9000,12.0000,0,0,0
DL1,20210513,12.0000,12.0000,12.0000,12.0000,100,12.0000,12.0000,12.0000,12.0000,0,0,0
DL1,20210512,11.0000,11.0000,11.0000,11.0000,100,11.0000,11.0000,11.0000,11.0000,0,0,0
DL1,20210511,11.4000,11.8000,11.4000,11.8000,4600,11.4000,11.8000,11.4000,11.8000,0,0,0
DL1,20210510,12.0000,12.0000,11.0000,11.0000,6700,12.0000,12.0000,11.0000,11.0000,0,0,0
DL1,20210507,12.1000,12.2000,12.0000,12.0000,10600,12.1000,12.2000,12.0000,12.0000,0,5800,0
DL1,20210506,12.0000,12.7000,12.0000,12.7000,600,12.0000,12.7000,12.0000,12.7000,0,0,0
DL1,20210505,11.5000,12.0000,11.5000,12.0000,2100,11.5000,12.0000,11.5000,12.0000,0,0,0
DL1,20210504,12.6000,12.6000,12.6000,12.6000,2300,12.6000,12.6000,12.6000,12.6000,0,0,0
DL1,20210429,11.8000,12.6000,11.8000,12.6000,2400,11.8000,12.6000,11.8000,12.6000,0,0,0
DL1,20210428,12.9000,12.9000,12.0000,12.0000,19700,12.9000,12.9000,12.0000,12.0000,0,0,0
DL1,20210427,12.9000,12.9000,12.9000,12.9000,500,12.9000,12.9000,12.9000,12.9000,0,0,0
DL1,20210426,13.0000,13.0000,12.7000,13.0000,400,13.0000,13.0000,12.7000,13.0000,0,0,0
DL1,20210423,13.0000,13.0000,13.0000,13.0000,200,13.0000,13.0000,13.0000,13.0000,0,0,0
DL1,20210422,13.0000,13.0000,13.0000,13.0000,1100,13.0000,13.0000,13.0000,13.0000,0,0,0
DL1,20210420,13.2000,13.2000,13.0000,13.0000,9705,13.2000,13.2000,13.0000,13.0000,0,0,0
DL1,20210419,13.0000,13.8000,13.0000,13.2000,11300,13.0000,13.8000,13.0000,13.2000,0,0,0
DL1,20210416,13.5000,13.5000,13.1000,13.2000,6000,13.5000,13.5000,13.1000,13.2000,0,0,0
DL1,20210415,14.0000,14.0000,13.3000,13.8000,3900,14.0000,14.0000,13.3000,13.8000,0,0,0
DL1,20210414,13.8000,14.0000,13.7000,14.0000,11200,13.8000,14.0000,13.7000,14.0000,0,0,0
DL1,20210413,14.2000,14.8000,14.1000,14.1000,17800,14.2000,14.8000,14.1000,14.1000,0,0,0
DL1,20210412,14.1000,14.1000,14.1000,14.1000,2100,14.1000,14.1000,14.1000,14.1000,0,0,0
DL1,20210409,14.0000,14.9000,14.0000,14.2000,4126,14.0000,14.9000,14.0000,14.2000,0,0,0
DL1,20210408,14.9000,14.9000,14.8000,14.8000,2600,14.9000,14.9000,14.8000,14.8000,0,0,0
DL1,20210407,14.3000,14.9000,14.1000,14.9000,5600,14.3000,14.9000,14.1000,14.9000,0,0,0
DL1,20210406,15.0000,15.0000,14.0000,14.3000,3700,15.0000,15.0000,14.0000,14.3000,0,0,0
DL1,20210405,15.0000,15.5000,15.0000,15.5000,3500,15.0000,15.5000,15.0000,15.5000,0,0,0
DL1,20210402,15.8000,15.8000,15.5000,15.5000,2200,15.8000,15.8000,15.5000,15.5000,0,0,0
DL1,20210401,16.1000,16.1000,14.6000,16.1000,5000,16.1000,16.1000,14.6000,16.1000,0,0,0
DL1,20210331,15.5000,16.1000,15.5000,16.1000,9400,15.5000,16.1000,15.5000,16.1000,0,0,0
DL1,20210330,14.5000,15.8000,13.6000,15.5000,10500,14.5000,15.8000,13.6000,15.5000,0,0,0
DL1,20210329,14.5000,15.4000,14.4000,15.0000,13200,14.5000,15.4000,14.4000,15.0000,0,0,0
DL1,20210326,19.3000,19.3000,15.9000,15.9000,12500,19.3000,19.3000,15.9000,15.9000,0,0,0
DL1,20210325,17.6000,17.6000,17.6000,17.6000,10500,17.6000,17.6000,17.6000,17.6000,20000,0,0
DL1,20210324,16.0000,16.0000,16.0000,16.0000,4840,16.0000,16.0000,16.0000,16.0000,0,0,0
DL1,20210323,13.3000,14.6000,13.3000,14.6000,7400,13.3000,14.6000,13.3000,14.6000,0,0,0
DL1,20210322,13.0000,13.3000,12.4000,13.3000,22010,13.0000,13.3000,12.4000,13.3000,2460000,5000,0
DL1,20210319,13.1000,13.1000,13.0000,13.0000,1200,13.1000,13.1000,13.0000,13.0000,0,0,0
