<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
MIM,20210601,5.9000,5.9000,5.9000,5.9000,50,5.9000,5.9000,5.9000,5.9000,0,0,0
MIM,20210531,5.9000,5.9000,5.9000,5.9000,3113,5.9000,5.9000,5.9000,5.9000,0,0,0
MIM,20210507,5.9000,6.5000,5.9000,6.5000,20100,5.9000,6.5000,5.9000,6.5000,0,0,0
MIM,20210412,6.3000,6.5000,6.3000,6.5000,2313,6.3000,6.5000,6.3000,6.5000,0,0,0
MIM,20210409,6.3000,6.3000,6.3000,6.3000,2600,6.3000,6.3000,6.3000,6.3000,0,0,0
MIM,20210408,6.3000,7.0000,6.3000,6.9000,710,6.3000,7.0000,6.3000,6.9000,0,0,0
MIM,20210407,6.3000,7.0000,6.3000,7.0000,200,6.3000,7.0000,6.3000,7.0000,0,0,0
MIM,20210405,6.6000,6.6000,6.6000,6.6000,500,6.6000,6.6000,6.6000,6.6000,0,0,0
MIM,20210402,6.3000,6.3000,6.3000,6.3000,1201,6.3000,6.3000,6.3000,6.3000,0,0,0
MIM,20210401,6.3000,6.5000,6.3000,6.3000,2150,6.3000,6.5000,6.3000,6.3000,0,0,0
MIM,20210331,6.1000,6.6000,5.7000,6.6000,3000,6.1000,6.6000,5.7000,6.6000,0,0,0
MIM,20210330,6.4000,6.4000,6.2000,6.3000,3000,6.4000,6.4000,6.2000,6.3000,0,0,0
MIM,20210329,6.8000,6.8000,6.8000,6.8000,100,6.8000,6.8000,6.8000,6.8000,0,0,0
MIM,20210326,6.2000,6.8000,6.2000,6.8000,2900,6.2000,6.8000,6.2000,6.8000,0,0,0
MIM,20210325,6.8000,7.0000,6.8000,6.8000,3010,6.8000,7.0000,6.8000,6.8000,0,0,0
MIM,20210324,7.1000,7.1000,7.1000,7.1000,2650,7.1000,7.1000,7.1000,7.1000,0,0,0
MIM,20210323,7.7000,7.7000,7.0000,7.1000,18100,7.7000,7.7000,7.0000,7.1000,0,0,0
MIM,20210322,7.0000,7.7000,7.0000,7.7000,1320,7.0000,7.7000,7.0000,7.7000,0,0,0
MIM,20210319,6.4000,7.0000,6.4000,7.0000,3000,6.4000,7.0000,6.4000,7.0000,0,0,0
MIM,20210318,5.9000,6.4000,5.9000,6.4000,47700,5.9000,6.4000,5.9000,6.4000,0,0,0
MIM,20210317,4.9000,5.9000,4.9000,5.9000,341,4.9000,5.9000,4.9000,5.9000,0,0,0
MIM,20210309,5.4000,5.4000,5.4000,5.4000,1100,5.4000,5.4000,5.4000,5.4000,0,0,0
MIM,20210308,6.1000,6.1000,6.0000,6.0000,2000,6.1000,6.1000,6.0000,6.0000,0,0,0
MIM,20210305,6.0000,6.0000,6.0000,6.0000,100,6.0000,6.0000,6.0000,6.0000,0,0,0
MIM,20210302,5.5000,5.5000,5.5000,5.5000,47,5.5000,5.5000,5.5000,5.5000,0,0,0
MIM,20210301,5.5000,5.5000,5.5000,5.5000,100,5.5000,5.5000,5.5000,5.5000,0,0,0
MIM,20210226,5.0000,5.0000,5.0000,5.0000,314,5.0000,5.0000,5.0000,5.0000,0,0,0
MIM,20210225,4.7000,4.7000,4.7000,4.7000,200,4.7000,4.7000,4.7000,4.7000,0,0,0
MIM,20210129,4.6000,4.6000,4.6000,4.6000,60,4.6000,4.6000,4.6000,4.6000,0,0,0
MIM,20210126,4.5000,4.6000,4.5000,4.6000,1200,4.5000,4.6000,4.5000,4.6000,0,0,0
MIM,20210121,4.6000,4.6000,4.6000,4.6000,3100,4.6000,4.6000,4.6000,4.6000,0,0,0
MIM,20210119,4.3000,4.3000,4.2000,4.2000,350,4.3000,4.3000,4.2000,4.2000,0,0,0
MIM,20210118,4.3000,4.3000,4.3000,4.3000,30,4.3000,4.3000,4.3000,4.3000,0,0,0
MIM,20210107,4.3000,4.7000,4.3000,4.3000,300,4.3000,4.7000,4.3000,4.3000,0,0,0
MIM,20210106,4.3000,4.3000,4.3000,4.3000,100,4.3000,4.3000,4.3000,4.3000,0,0,0
MIM,20201230,4.6000,4.6000,4.6000,4.6000,200,4.6000,4.6000,4.6000,4.6000,0,0,0
MIM,20201229,4.7000,4.7000,4.6000,4.6000,900,4.7000,4.7000,4.6000,4.6000,0,0,0
MIM,20201223,5.1000,5.1000,4.9000,5.1000,6810,5.1000,5.1000,4.9000,5.1000,0,0,0
MIM,20201221,5.4000,5.4000,5.4000,5.4000,1500,5.4000,5.4000,5.4000,5.4000,0,0,0
MIM,20201218,6.0000,6.3000,6.0000,6.0000,2200,6.0000,6.3000,6.0000,6.0000,0,0,0
MIM,20201217,6.0000,6.0000,6.0000,6.0000,100,6.0000,6.0000,6.0000,6.0000,0,0,0
MIM,20201216,6.6000,6.6000,6.6000,6.6000,100,6.6000,6.6000,6.6000,6.6000,0,0,0
MIM,20201215,7.3000,7.3000,7.3000,7.3000,100,7.3000,7.3000,7.3000,7.3000,0,0,0
MIM,20201211,8.1000,8.1000,8.1000,8.1000,100,8.1000,8.1000,8.1000,8.1000,0,0,0
MIM,20201209,8.9000,8.9000,8.9000,8.9000,100,8.9000,8.9000,8.9000,8.9000,0,0,0
MIM,20201208,9.8000,9.8000,9.8000,9.8000,100,9.8000,9.8000,9.8000,9.8000,0,0,0
