<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PVL,20210601,4.0000,4.1000,3.9000,4.0000,840309,4.0000,4.1000,3.9000,4.0000,0,0,10500
PVL,20210531,3.9000,4.2000,3.9000,4.0000,2186812,3.9000,4.2000,3.9000,4.0000,0,0,0
PVL,20210528,3.7000,4.0000,3.6000,3.9000,1538560,3.7000,4.0000,3.6000,3.9000,0,0,100
PVL,20210527,3.6000,3.7000,3.5000,3.7000,817200,3.6000,3.7000,3.5000,3.7000,0,0,113900
PVL,20210526,3.6000,3.7000,3.5000,3.6000,556700,3.6000,3.7000,3.5000,3.6000,0,100,0
PVL,20210525,3.7000,3.7000,3.5000,3.7000,696222,3.7000,3.7000,3.5000,3.7000,0,100,0
PVL,20210524,3.8000,3.8000,3.6000,3.7000,464910,3.8000,3.8000,3.6000,3.7000,0,3600,0
PVL,20210521,3.6000,3.8000,3.5000,3.7000,639820,3.6000,3.8000,3.5000,3.7000,0,0,0
PVL,20210520,3.9000,4.0000,3.6000,3.6000,1642700,3.9000,4.0000,3.6000,3.6000,0,14400,0
PVL,20210519,3.9000,4.1000,3.8000,3.9000,1622450,3.9000,4.1000,3.8000,3.9000,0,30000,1300
PVL,20210518,3.6000,3.8000,3.5000,3.8000,1493400,3.6000,3.8000,3.5000,3.8000,0,70000,0
PVL,20210517,3.4000,3.6000,3.4000,3.5000,904000,3.4000,3.6000,3.4000,3.5000,0,0,1500
PVL,20210514,3.3000,3.5000,3.3000,3.4000,400524,3.3000,3.5000,3.3000,3.4000,0,0,0
PVL,20210513,3.5000,3.6000,3.4000,3.4000,470200,3.5000,3.6000,3.4000,3.4000,0,0,0
PVL,20210512,3.4000,3.5000,3.3000,3.5000,432300,3.4000,3.5000,3.3000,3.5000,0,0,0
PVL,20210511,3.3000,3.5000,3.3000,3.4000,436755,3.3000,3.5000,3.3000,3.4000,0,1000,0
PVL,20210510,3.3000,3.4000,3.1000,3.3000,728220,3.3000,3.4000,3.1000,3.3000,0,0,0
PVL,20210507,3.5000,3.5000,3.3000,3.4000,586200,3.5000,3.5000,3.3000,3.4000,0,0,0
PVL,20210506,3.6000,3.7000,3.4000,3.6000,780300,3.6000,3.7000,3.4000,3.6000,0,0,40000
PVL,20210505,3.3000,3.6000,3.2000,3.6000,1300246,3.3000,3.6000,3.2000,3.6000,0,0,40000
PVL,20210504,3.5000,3.6000,3.3000,3.3000,580220,3.5000,3.6000,3.3000,3.3000,0,0,0
PVL,20210429,3.6000,3.7000,3.4000,3.6000,823000,3.6000,3.7000,3.4000,3.6000,0,1500,197900
PVL,20210428,3.6000,3.8000,3.4000,3.6000,821600,3.6000,3.8000,3.4000,3.6000,0,1300,10000
PVL,20210427,3.5000,3.6000,3.3000,3.5000,871300,3.5000,3.6000,3.3000,3.5000,0,0,0
PVL,20210426,3.8000,3.8000,3.5000,3.5000,1580870,3.8000,3.8000,3.5000,3.5000,0,0,0
PVL,20210423,3.6000,3.8000,3.5000,3.8000,1168550,3.6000,3.8000,3.5000,3.8000,0,10100,0
PVL,20210422,4.0000,4.1000,3.6000,3.6000,1276318,4.0000,4.1000,3.6000,3.6000,0,38100,0
PVL,20210420,3.7000,4.0000,3.5000,4.0000,2004376,3.7000,4.0000,3.5000,4.0000,0,0,0
PVL,20210419,4.1000,4.1000,3.7000,3.7000,2367320,4.1000,4.1000,3.7000,3.7000,0,28100,0
PVL,20210416,4.3000,4.3000,3.9000,4.1000,4243424,4.3000,4.3000,3.9000,4.1000,0,20000,15200
PVL,20210415,4.7000,4.8000,4.3000,4.3000,4468281,4.7000,4.8000,4.3000,4.3000,0,0,0
PVL,20210414,4.4000,4.7000,4.2000,4.7000,1925130,4.4000,4.7000,4.2000,4.7000,0,100,1000
PVL,20210413,4.7000,5.0000,4.3000,4.5000,4747291,4.7000,5.0000,4.3000,4.5000,0,40000,23400
PVL,20210412,4.3000,4.7000,4.3000,4.7000,3978217,4.3000,4.7000,4.3000,4.7000,0,15200,0
PVL,20210409,4.1000,4.4000,3.8000,4.3000,2195970,4.1000,4.4000,3.8000,4.3000,0,1000,1300
PVL,20210408,4.2000,4.2000,3.7000,4.1000,3170740,4.2000,4.2000,3.7000,4.1000,0,0,1000
PVL,20210407,3.7000,3.9000,3.6000,3.9000,884855,3.7000,3.9000,3.6000,3.9000,0,0,0
PVL,20210406,3.3000,3.6000,3.3000,3.6000,3931660,3.3000,3.6000,3.3000,3.6000,0,0,0
PVL,20210405,3.1000,3.4000,3.0000,3.3000,2355305,3.1000,3.4000,3.0000,3.3000,0,0,0
