<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SPI,20210601,19.2000,20.0000,18.7000,19.7000,203900,19.2000,20.0000,18.7000,19.7000,45000,0,1000
SPI,20210531,19.0000,19.5000,19.0000,19.5000,82600,19.0000,19.5000,19.0000,19.5000,0,0,0
SPI,20210528,19.2000,20.4000,18.7000,18.8000,302310,19.2000,20.4000,18.7000,18.8000,17000,0,0
SPI,20210527,20.5000,20.5000,19.5000,20.4000,161900,20.5000,20.5000,19.5000,20.4000,0,0,0
SPI,20210526,20.9000,21.7000,19.2000,20.9000,243600,20.9000,21.7000,19.2000,20.9000,0,0,0
SPI,20210525,20.4000,22.0000,20.4000,21.3000,79600,20.4000,22.0000,20.4000,21.3000,0,0,1600
SPI,20210524,19.0000,21.1000,17.9000,20.3000,717000,19.0000,21.1000,17.9000,20.3000,50000,0,1600
SPI,20210521,19.4000,19.4000,17.5000,19.2000,389600,19.4000,19.4000,17.5000,19.2000,0,0,1000
SPI,20210520,17.8000,19.8000,17.8000,19.4000,264900,17.8000,19.8000,17.8000,19.4000,0,0,0
SPI,20210519,19.2000,19.5000,19.0000,19.5000,1163000,19.2000,19.5000,19.0000,19.5000,0,0,0
SPI,20210518,19.0000,19.8000,18.8000,19.1000,303700,19.0000,19.8000,18.8000,19.1000,0,900,0
SPI,20210517,18.3000,19.6000,18.3000,18.7000,835100,18.3000,19.6000,18.3000,18.7000,0,100,0
SPI,20210514,17.0000,18.8000,17.0000,18.3000,444810,17.0000,18.8000,17.0000,18.3000,0,0,0
SPI,20210513,16.0000,17.1000,16.0000,17.1000,470800,16.0000,17.1000,16.0000,17.1000,0,0,0
SPI,20210512,16.9000,16.9000,16.0000,16.0000,273600,16.9000,16.9000,16.0000,16.0000,0,0,0
SPI,20210511,16.8000,17.4000,16.5000,16.8000,209200,16.8000,17.4000,16.5000,16.8000,0,0,0
