<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
THD,20210601,199.3000,199.9000,199.2000,199.6000,1646711,199.3000,199.9000,199.2000,199.6000,0,0,0
THD,20210531,198.3000,199.2000,196.5000,199.2000,2029400,198.3000,199.2000,196.5000,199.2000,0,0,0
THD,20210528,197.8000,198.9000,196.8000,198.2000,1613300,197.8000,198.9000,196.8000,198.2000,0,34100,0
THD,20210527,197.5000,197.9000,194.4000,197.7000,2179000,197.5000,197.9000,194.4000,197.7000,0,674800,500
THD,20210526,196.8000,197.7000,196.3000,197.1000,1666900,196.8000,197.7000,196.3000,197.1000,0,58100,1000
THD,20210525,196.3000,196.8000,195.7000,196.6000,1615800,196.3000,196.8000,195.7000,196.6000,0,0,0
THD,20210524,195.5000,196.9000,195.3000,195.8000,1502601,195.5000,196.9000,195.3000,195.8000,0,0,0
THD,20210521,197.8000,197.8000,193.6000,195.3000,2521601,197.8000,197.8000,193.6000,195.3000,0,476400,0
THD,20210520,193.0000,194.0000,192.9000,193.6000,1535224,193.0000,194.0000,192.9000,193.6000,0,345400,0
THD,20210519,192.5000,193.2000,189.6000,192.9000,2498801,192.5000,193.2000,189.6000,192.9000,0,128800,0
THD,20210518,194.6000,195.6000,190.6000,192.6000,1255618,194.6000,195.6000,190.6000,192.6000,0,0,0
THD,20210517,193.6000,194.9000,193.5000,194.5000,1153816,193.6000,194.9000,193.5000,194.5000,0,0,10600
THD,20210514,190.8000,194.0000,190.7000,193.6000,1196900,190.8000,194.0000,190.7000,193.6000,0,0,0
THD,20210513,190.2000,191.0000,189.5000,190.7000,1258500,190.2000,191.0000,189.5000,190.7000,0,0,0
THD,20210512,189.3000,190.2000,188.6000,189.8000,1401100,189.3000,190.2000,188.6000,189.8000,0,2000,0
THD,20210511,189.0000,190.6000,188.0000,189.2000,1106601,189.0000,190.6000,188.0000,189.2000,0,0,0
THD,20210510,188.4000,190.0000,187.5000,188.8000,1026315,188.4000,190.0000,187.5000,188.8000,0,0,0
THD,20210507,188.1000,188.4000,186.9000,188.3000,1055300,188.1000,188.4000,186.9000,188.3000,0,0,0
THD,20210506,187.8000,188.0000,186.1000,188.0000,1073900,187.8000,188.0000,186.1000,188.0000,0,0,0
THD,20210505,187.5000,188.2000,186.1000,187.7000,1042303,187.5000,188.2000,186.1000,187.7000,0,0,0
THD,20210504,187.4000,188.1000,186.0000,187.6000,1157401,187.4000,188.1000,186.0000,187.6000,0,0,0
THD,20210429,187.2000,187.9000,187.1000,187.3000,1282201,187.2000,187.9000,187.1000,187.3000,0,273600,184000
THD,20210428,186.7000,187.2000,184.2000,187.1000,982900,186.7000,187.2000,184.2000,187.1000,0,0,0
THD,20210427,186.7000,187.0000,185.0000,186.7000,958231,186.7000,187.0000,185.0000,186.7000,0,0,0
THD,20210426,185.8000,196.0000,185.8000,186.5000,1121900,185.8000,196.0000,185.8000,186.5000,0,184000,0
THD,20210423,196.1000,196.1000,184.9000,185.8000,1035800,196.1000,196.1000,184.9000,185.8000,0,0,0
THD,20210422,203.4000,203.4000,195.9000,196.0000,641422,203.4000,203.4000,195.9000,196.0000,810000,0,0
THD,20210420,202.6000,203.2000,202.5000,203.2000,650800,202.6000,203.2000,202.5000,203.2000,0,0,0
THD,20210419,202.0000,202.7000,201.2000,202.5000,667200,202.0000,202.7000,201.2000,202.5000,0,0,0
THD,20210416,201.5000,202.3000,200.8000,202.0000,630702,201.5000,202.3000,200.8000,202.0000,0,0,0
THD,20210415,196.1000,201.7000,196.1000,201.5000,664720,196.1000,201.7000,196.1000,201.5000,0,0,0
THD,20210414,194.4000,198.0000,192.0000,196.0000,470550,194.4000,198.0000,192.0000,196.0000,0,0,0
THD,20210413,194.9000,195.6000,194.1000,194.2000,462370,194.9000,195.6000,194.1000,194.2000,0,0,0
THD,20210412,194.2000,195.4000,194.1000,194.8000,452104,194.2000,195.4000,194.1000,194.8000,0,0,200
THD,20210409,194.8000,195.2000,193.2000,194.0000,441850,194.8000,195.2000,193.2000,194.0000,0,0,0
THD,20210408,197.2000,197.2000,194.8000,194.8000,461000,197.2000,197.2000,194.8000,194.8000,0,0,0
THD,20210407,197.0000,197.5000,196.1000,196.1000,454022,197.0000,197.5000,196.1000,196.1000,0,0,0
THD,20210406,198.9000,199.0000,196.8000,197.0000,457100,198.9000,199.0000,196.8000,197.0000,0,0,0
THD,20210405,198.9000,199.5000,198.2000,198.7000,455500,198.9000,199.5000,198.2000,198.7000,0,0,0
THD,20210402,197.6000,198.3000,197.6000,198.2000,444100,197.6000,198.3000,197.6000,198.2000,0,0,0
THD,20210401,197.0000,197.6000,196.9000,197.6000,456800,197.0000,197.6000,196.9000,197.6000,0,0,0
THD,20210331,196.7000,197.4000,196.6000,196.9000,471301,196.7000,197.4000,196.6000,196.9000,0,0,0
THD,20210330,196.6000,196.9000,195.0000,196.7000,467926,196.6000,196.9000,195.0000,196.7000,0,0,0
THD,20210329,196.7000,196.9000,192.9000,196.7000,450200,196.7000,196.9000,192.9000,196.7000,0,0,0
THD,20210326,196.4000,196.7000,193.0000,196.6000,518100,196.4000,196.7000,193.0000,196.6000,0,0,1200
THD,20210325,197.3000,198.0000,196.4000,196.4000,448400,197.3000,198.0000,196.4000,196.4000,0,0,100
THD,20210324,200.0000,200.3000,197.0000,197.3000,460118,200.0000,200.3000,197.0000,197.3000,0,0,0
THD,20210323,200.0000,200.5000,197.8000,198.8000,430201,200.0000,200.5000,197.8000,198.8000,97,1200,0
THD,20210322,199.6000,200.1000,198.0000,200.0000,388405,199.6000,200.1000,198.0000,200.0000,0,100,1500
THD,20210319,202.2000,202.5000,198.9000,199.5000,389001,202.2000,202.5000,198.9000,199.5000,0,0,0
THD,20210318,201.9000,202.2000,199.9000,202.2000,397428,201.9000,202.2000,199.9000,202.2000,0,0,0
THD,20210317,201.9000,202.2000,199.9000,201.8000,371405,201.9000,202.2000,199.9000,201.8000,0,0,200
THD,20210316,203.6000,203.7000,198.7000,201.7000,409510,203.6000,203.7000,198.7000,201.7000,0,0,0
THD,20210315,203.0000,203.5000,201.0000,203.5000,379300,203.0000,203.5000,201.0000,203.5000,0,0,400
THD,20210312,202.8000,203.3000,201.0000,202.8000,377236,202.8000,203.3000,201.0000,202.8000,0,100,3200
THD,20210311,201.8000,202.9000,201.8000,202.6000,389601,201.8000,202.9000,201.8000,202.6000,0,0,0
THD,20210310,201.2000,202.0000,199.8000,201.8000,381354,201.2000,202.0000,199.8000,201.8000,0,2000,10743
THD,20210309,202.1000,202.3000,200.8000,201.0000,450400,202.1000,202.3000,200.8000,201.0000,0,0,200
THD,20210308,204.0000,204.4000,201.9000,202.0000,312011,204.0000,204.4000,201.9000,202.0000,0,0,200
THD,20210305,205.0000,207.0000,203.8000,203.9000,256174,205.0000,207.0000,203.8000,203.9000,0,0,0
THD,20210304,203.1000,203.6000,199.9000,203.2000,233100,203.1000,203.6000,199.9000,203.2000,0,0,0
THD,20210303,203.0000,203.0000,195.0000,203.0000,377099,203.0000,203.0000,195.0000,203.0000,0,800,2100
THD,20210302,202.0000,204.0000,191.0000,191.0000,352263,202.0000,204.0000,191.0000,191.0000,0,0,0
THD,20210301,202.0000,205.0000,195.0000,201.2000,302440,202.0000,205.0000,195.0000,201.2000,0,0,0
THD,20210226,196.0000,215.0000,196.0000,201.0000,310070,196.0000,215.0000,196.0000,201.0000,56600,5300,0
THD,20210225,179.0000,196.0000,179.0000,196.0000,109362,179.0000,196.0000,179.0000,196.0000,103100,0,400
THD,20210224,179.0000,179.0000,165.0000,178.2000,330510,179.0000,179.0000,165.0000,178.2000,65000,10,0
THD,20210223,172.0000,178.0000,170.0000,178.0000,396750,172.0000,178.0000,170.0000,178.0000,24000,0,0
THD,20210222,168.0000,184.5000,165.0000,184.5000,297700,168.0000,184.5000,165.0000,184.5000,0,400,0
THD,20210219,168.0000,168.6000,164.9000,168.0000,325300,168.0000,168.6000,164.9000,168.0000,0,0,100
THD,20210218,168.0000,168.6000,167.0000,168.0000,422590,168.0000,168.6000,167.0000,168.0000,365600,0,100
THD,20210217,165.0000,168.2000,157.0000,167.0000,508229,165.0000,168.2000,157.0000,167.0000,134000,0,0
THD,20210209,166.0000,166.8000,164.0000,165.5000,869235,166.0000,166.8000,164.0000,165.5000,54600,0,0
THD,20210208,166.0000,167.0000,161.8000,164.0000,736200,166.0000,167.0000,161.8000,164.0000,0,100,0
THD,20210205,168.6000,169.5000,160.0000,160.0000,3557713,168.6000,169.5000,160.0000,160.0000,0,0,0
THD,20210204,168.9000,170.0000,168.5000,168.5000,424090,168.9000,170.0000,168.5000,168.5000,28000,0,0
THD,20210203,168.0000,169.0000,164.5000,168.0000,516400,168.0000,169.0000,164.5000,168.0000,28000,0,0
