<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VIG,20210601,6.3000,6.4000,6.1000,6.4000,3737398,6.3000,6.4000,6.1000,6.4000,0,0,1000
VIG,20210531,5.5000,5.9000,5.4000,5.9000,4024841,5.5000,5.9000,5.4000,5.9000,0,0,5200
VIG,20210528,5.0000,5.5000,4.9000,5.4000,1941049,5.0000,5.5000,4.9000,5.4000,0,0,7000
VIG,20210527,5.1000,5.2000,4.9000,5.0000,1615450,5.1000,5.2000,4.9000,5.0000,0,0,9000
VIG,20210526,5.4000,5.4000,5.1000,5.1000,1908400,5.4000,5.4000,5.1000,5.1000,0,0,0
VIG,20210525,5.3000,5.6000,5.2000,5.3000,1689400,5.3000,5.6000,5.2000,5.3000,0,0,31200
VIG,20210524,5.4000,5.6000,5.1000,5.3000,1202100,5.4000,5.6000,5.1000,5.3000,0,0,31200
VIG,20210521,5.5000,5.6000,5.3000,5.4000,1381050,5.5000,5.6000,5.3000,5.4000,0,0,0
VIG,20210520,5.2000,5.8000,5.0000,5.6000,1921800,5.2000,5.8000,5.0000,5.6000,0,0,20000
VIG,20210519,6.6000,6.6000,5.4000,5.4000,4189063,6.6000,6.6000,5.4000,5.4000,0,6100,1000
VIG,20210518,6.0000,6.0000,6.0000,6.0000,470852,6.0000,6.0000,6.0000,6.0000,0,0,0
VIG,20210517,4.5000,5.5000,4.5000,5.5000,1987627,4.5000,5.5000,4.5000,5.5000,0,0,6800
VIG,20210514,5.0000,5.0000,5.0000,5.0000,1751642,5.0000,5.0000,5.0000,5.0000,0,0,48600
VIG,20210507,5.5000,5.5000,5.5000,5.5000,459239,5.5000,5.5000,5.5000,5.5000,60000,0,10000
VIG,20210423,6.0000,6.4000,5.7000,6.1000,2464800,6.0000,6.4000,5.7000,6.1000,0,15500,0
VIG,20210422,6.5000,6.6000,6.3000,6.3000,4843378,6.5000,6.6000,6.3000,6.3000,0,19800,0
VIG,20210420,7.2000,7.3000,6.7000,6.9000,2441600,7.2000,7.3000,6.7000,6.9000,0,0,63500
VIG,20210419,7.1000,7.4000,6.7000,7.2000,1804276,7.1000,7.4000,6.7000,7.2000,0,0,63500
VIG,20210416,7.9000,7.9000,7.2000,7.4000,3530048,7.9000,7.9000,7.2000,7.4000,0,2000,0
VIG,20210415,8.1000,8.5000,7.8000,7.9000,2863274,8.1000,8.5000,7.8000,7.9000,0,0,13300
VIG,20210414,8.0000,8.2000,7.7000,8.0000,2301010,8.0000,8.2000,7.7000,8.0000,0,12000,10400
VIG,20210413,7.9000,8.6000,7.5000,8.1000,3348435,7.9000,8.6000,7.5000,8.1000,0,8000,26500
VIG,20210412,7.2000,7.9000,6.9000,7.9000,3645514,7.2000,7.9000,6.9000,7.9000,0,300,0
VIG,20210409,7.4000,7.4000,7.0000,7.2000,2214773,7.4000,7.4000,7.0000,7.2000,0,26500,0
VIG,20210408,7.5000,7.8000,6.8000,7.4000,2833361,7.5000,7.8000,6.8000,7.4000,0,3500,2600
VIG,20210407,6.7000,7.2000,6.6000,7.2000,3363901,6.7000,7.2000,6.6000,7.2000,0,1300,0
VIG,20210406,6.0000,6.6000,6.0000,6.6000,5700821,6.0000,6.6000,6.0000,6.6000,0,300,10300
VIG,20210405,6.4000,6.9000,6.0000,6.0000,3264169,6.4000,6.9000,6.0000,6.0000,0,60500,0
VIG,20210402,6.2000,6.8000,6.2000,6.4000,3029568,6.2000,6.8000,6.2000,6.4000,0,5000,9800
VIG,20210401,5.6000,6.2000,5.4000,6.2000,5377293,5.6000,6.2000,5.4000,6.2000,0,0,197600
VIG,20210331,5.8000,6.1000,5.6000,5.7000,2793092,5.8000,6.1000,5.6000,5.7000,0,5000,0
VIG,20210330,5.8000,5.8000,5.5000,5.8000,6456787,5.8000,5.8000,5.5000,5.8000,0,19800,43800
VIG,20210329,5.0000,5.3000,5.0000,5.3000,4351929,5.0000,5.3000,5.0000,5.3000,0,0,20000
VIG,20210326,4.7000,4.9000,4.3000,4.9000,2630760,4.7000,4.9000,4.3000,4.9000,0,2000,0
VIG,20210325,4.9000,4.9000,4.7000,4.7000,962832,4.9000,4.9000,4.7000,4.7000,0,0,400
VIG,20210324,5.0000,5.0000,4.7000,4.8000,1573600,5.0000,5.0000,4.7000,4.8000,0,200,0
VIG,20210323,5.0000,5.0000,4.8000,5.0000,1436223,5.0000,5.0000,4.8000,5.0000,0,600,900
VIG,20210322,5.0000,5.0000,4.8000,5.0000,1198711,5.0000,5.0000,4.8000,5.0000,0,0,0
VIG,20210319,4.9000,5.0000,4.8000,5.0000,1712300,4.9000,5.0000,4.8000,5.0000,0,0,0
VIG,20210318,4.9000,5.0000,4.7000,4.9000,1498238,4.9000,5.0000,4.7000,4.9000,0,100,0
VIG,20210317,4.9000,5.0000,4.8000,4.9000,2138420,4.9000,5.0000,4.8000,4.9000,0,200,0
VIG,20210316,5.2000,5.2000,4.8000,4.9000,2092125,5.2000,5.2000,4.8000,4.9000,0,0,0
VIG,20210315,5.1000,5.2000,4.9000,5.1000,1678900,5.1000,5.2000,4.9000,5.1000,0,0,1600
VIG,20210312,5.2000,5.2000,5.0000,5.0000,1202037,5.2000,5.2000,5.0000,5.0000,0,0,0
VIG,20210311,5.1000,5.2000,4.9000,5.2000,1821518,5.1000,5.2000,4.9000,5.2000,0,0,0
VIG,20210310,5.1000,5.3000,5.0000,5.1000,2757968,5.1000,5.3000,5.0000,5.1000,0,0,0
VIG,20210309,4.8000,5.2000,4.5000,5.1000,4471500,4.8000,5.2000,4.5000,5.1000,0,1000,10800
VIG,20210308,4.6000,4.9000,4.6000,4.8000,1810285,4.6000,4.9000,4.6000,4.8000,0,1000,10800
VIG,20210305,4.4000,4.6000,4.3000,4.6000,2144370,4.4000,4.6000,4.3000,4.6000,0,3700,0
VIG,20210304,4.4000,4.7000,4.1000,4.4000,3564345,4.4000,4.7000,4.1000,4.4000,0,193700,3900
VIG,20210303,4.1000,4.4000,4.0000,4.4000,2412714,4.1000,4.4000,4.0000,4.4000,0,0,113400
VIG,20210302,4.2000,4.2000,4.0000,4.1000,1405270,4.2000,4.2000,4.0000,4.1000,0,0,2900
VIG,20210301,4.1000,4.2000,4.0000,4.2000,873449,4.1000,4.2000,4.0000,4.2000,0,0,12200
VIG,20210226,4.1000,4.2000,4.0000,4.1000,1014826,4.1000,4.2000,4.0000,4.1000,0,0,46200
VIG,20210225,4.2000,4.3000,4.0000,4.2000,940400,4.2000,4.3000,4.0000,4.2000,0,1300,0
VIG,20210224,4.3000,4.5000,4.1000,4.1000,1739540,4.3000,4.5000,4.1000,4.1000,0,139800,1500
VIG,20210223,4.1000,4.3000,4.0000,4.3000,960771,4.1000,4.3000,4.0000,4.3000,0,200,0
VIG,20210222,4.4000,4.4000,4.1000,4.2000,1745788,4.4000,4.4000,4.1000,4.2000,0,500,0
VIG,20210219,4.4000,4.6000,4.2000,4.4000,2154400,4.4000,4.6000,4.2000,4.4000,0,4300,0
VIG,20210218,4.1000,4.2000,4.0000,4.2000,2827911,4.1000,4.2000,4.0000,4.2000,0,4300,0
VIG,20210217,3.6000,3.9000,3.3000,3.9000,939176,3.6000,3.9000,3.3000,3.9000,0,0,0
VIG,20210209,3.6000,3.8000,3.4000,3.6000,1351709,3.6000,3.8000,3.4000,3.6000,0,1200,0
VIG,20210208,3.9000,3.9000,3.6000,3.6000,2089306,3.9000,3.9000,3.6000,3.6000,0,6500,53500
