<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
CEO,20210615,9.6000,10.6000,9.6000,10.2000,2384550,9.6000,10.6000,9.6000,10.2000,0,10300,1500
CEO,20210614,10.5000,10.7000,10.2000,10.4000,3627452,10.5000,10.7000,10.2000,10.4000,50,48100,0
CEO,20210611,10.3000,10.6000,10.0000,10.4000,2047632,10.3000,10.6000,10.0000,10.4000,0,3800,0
CEO,20210610,10.4000,10.8000,10.2000,10.3000,3879293,10.4000,10.8000,10.2000,10.3000,0,7000,0
CEO,20210609,10.2000,10.7000,10.0000,10.4000,4179140,10.2000,10.7000,10.0000,10.4000,0,10000,0
CEO,20210608,11.3000,11.9000,10.2000,10.2000,6397331,11.3000,11.9000,10.2000,10.2000,4060000,700,0
CEO,20210607,10.8000,11.7000,10.8000,11.3000,7365339,10.8000,11.7000,10.8000,11.3000,0,100000,27000
CEO,20210604,10.5000,11.1000,10.3000,10.8000,8899954,10.5000,11.1000,10.3000,10.8000,10000,45000,62000
CEO,20210603,9.6000,10.7000,9.6000,10.4000,4749792,9.6000,10.7000,9.6000,10.4000,4060000,500,0
CEO,20210602,10.5000,10.7000,10.1000,10.4000,5172524,10.5000,10.7000,10.1000,10.4000,0,3500,0
CEO,20210601,9.9000,10.8000,9.9000,10.5000,5853108,9.9000,10.8000,9.9000,10.5000,0,2700,36000
CEO,20210531,9.5000,10.3000,9.4000,10.1000,7646401,9.5000,10.3000,9.4000,10.1000,0,1000,300
CEO,20210528,9.4000,9.6000,9.3000,9.5000,4152864,9.4000,9.6000,9.3000,9.5000,0,40000,0
CEO,20210527,9.6000,9.7000,9.3000,9.4000,2447205,9.6000,9.7000,9.3000,9.4000,0,300,0
CEO,20210526,9.7000,9.7000,9.4000,9.5000,2166240,9.7000,9.7000,9.4000,9.5000,0,0,100
CEO,20210525,10.0000,10.1000,9.6000,9.7000,1870674,10.0000,10.1000,9.6000,9.7000,0,300,0
CEO,20210524,9.3000,10.0000,9.2000,9.9000,3689202,9.3000,10.0000,9.2000,9.9000,0,17000,0
CEO,20210521,9.0000,9.5000,8.8000,9.3000,2645800,9.0000,9.5000,8.8000,9.3000,0,68700,20000
CEO,20210520,9.4000,9.5000,9.1000,9.1000,3568800,9.4000,9.5000,9.1000,9.1000,0,68700,20000
CEO,20210519,9.4000,9.6000,9.3000,9.4000,2195000,9.4000,9.6000,9.3000,9.4000,0,0,8000
CEO,20210518,9.7000,9.8000,9.4000,9.6000,2577500,9.7000,9.8000,9.4000,9.6000,0,0,0
CEO,20210517,10.0000,10.1000,9.7000,9.7000,1385121,10.0000,10.1000,9.7000,9.7000,0,0,0
CEO,20210514,9.8000,10.4000,9.6000,9.9000,3554534,9.8000,10.4000,9.6000,9.9000,0,10000,100
CEO,20210513,9.9000,10.1000,9.7000,9.8000,1969393,9.9000,10.1000,9.7000,9.8000,0,5000,100
CEO,20210512,9.6000,9.9000,9.5000,9.9000,1587789,9.6000,9.9000,9.5000,9.9000,0,0,3200
CEO,20210511,9.4000,9.8000,9.4000,9.6000,2651400,9.4000,9.8000,9.4000,9.6000,0,0,0
CEO,20210510,9.5000,9.6000,9.3000,9.4000,2637651,9.5000,9.6000,9.3000,9.4000,0,0,0
CEO,20210507,9.8000,9.9000,9.3000,9.5000,3314615,9.8000,9.9000,9.3000,9.5000,0,28100,4300
CEO,20210506,10.1000,10.2000,9.7000,9.8000,2479456,10.1000,10.2000,9.7000,9.8000,0,400,0
CEO,20210505,9.9000,10.5000,9.9000,10.1000,2912378,9.9000,10.5000,9.9000,10.1000,0,100,0
