<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HUT,20210615,8.1000,8.3000,7.4000,8.1000,3907138,8.1000,8.3000,7.4000,8.1000,2500000,2200,10900
HUT,20210614,8.0000,8.4000,8.0000,8.2000,8540985,8.0000,8.4000,8.0000,8.2000,0,32600,7600
HUT,20210611,7.2000,7.8000,7.1000,7.8000,15449972,7.2000,7.8000,7.1000,7.8000,3000075,100800,20500
HUT,20210610,7.1000,7.3000,6.9000,7.1000,5472733,7.1000,7.3000,6.9000,7.1000,2000000,0,3000
HUT,20210609,6.9000,7.2000,6.8000,7.1000,5462559,6.9000,7.2000,6.8000,7.1000,29,5000,16000
HUT,20210608,7.5000,7.7000,6.8000,7.0000,6807398,7.5000,7.7000,6.8000,7.0000,1000075,200,1000
HUT,20210607,7.2000,7.7000,7.1000,7.5000,13775318,7.2000,7.7000,7.1000,7.5000,166,23800,8000
HUT,20210604,7.3000,7.4000,7.0000,7.2000,8425378,7.3000,7.4000,7.0000,7.2000,2000070,0,7000
HUT,20210603,7.3000,7.4000,7.2000,7.3000,3900799,7.3000,7.4000,7.2000,7.3000,77,3100,0
HUT,20210602,7.2000,7.5000,7.1000,7.2000,5681758,7.2000,7.5000,7.1000,7.2000,1300000,9800,2000
HUT,20210601,6.6000,7.1000,6.4000,7.1000,17084705,6.6000,7.1000,6.4000,7.1000,6000018,2500,9000
HUT,20210531,6.7000,6.8000,6.5000,6.5000,4084643,6.7000,6.8000,6.5000,6.5000,15,1800,0
HUT,20210528,6.6000,6.8000,6.6000,6.7000,3090211,6.6000,6.8000,6.6000,6.7000,0,6000,0
HUT,20210527,6.8000,6.9000,6.6000,6.6000,2717825,6.8000,6.9000,6.6000,6.6000,0,1000,0
HUT,20210526,6.6000,7.1000,6.5000,6.8000,8026600,6.6000,7.1000,6.5000,6.8000,0,300,3000
HUT,20210525,6.7000,6.7000,6.5000,6.6000,2543700,6.7000,6.7000,6.5000,6.6000,0,1000,0
HUT,20210524,6.4000,6.8000,6.4000,6.7000,5753944,6.4000,6.8000,6.4000,6.7000,0,1000,0
