<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
KLF,20210615,5.1000,5.2000,5.0000,5.1000,3241513,5.1000,5.2000,5.0000,5.1000,55,0,0
KLF,20210614,5.1000,5.3000,5.0000,5.1000,7644264,5.1000,5.3000,5.0000,5.1000,36,0,30000
KLF,20210611,5.1000,5.3000,5.1000,5.2000,4624970,5.1000,5.3000,5.1000,5.2000,40,10200,20000
KLF,20210610,5.3000,5.3000,5.1000,5.1000,4436488,5.3000,5.3000,5.1000,5.1000,0,0,0
KLF,20210609,5.1000,5.3000,5.0000,5.3000,6233142,5.1000,5.3000,5.0000,5.3000,0,0,0
KLF,20210608,5.3000,5.4000,5.0000,5.1000,6799862,5.3000,5.4000,5.0000,5.1000,0,2000,20000
KLF,20210607,5.3000,5.5000,5.0000,5.2000,8349546,5.3000,5.5000,5.0000,5.2000,50071,22000,0
KLF,20210604,5.6000,5.8000,5.3000,5.3000,8956150,5.6000,5.8000,5.3000,5.3000,0,2000,0
KLF,20210603,5.4000,5.8000,5.4000,5.6000,10997453,5.4000,5.8000,5.4000,5.6000,0,25000,31000
KLF,20210602,5.0000,5.5000,5.0000,5.4000,9667077,5.0000,5.5000,5.0000,5.4000,0,80700,200
KLF,20210601,5.0000,5.2000,4.9000,5.0000,7808314,5.0000,5.2000,4.9000,5.0000,62,20000,5000
KLF,20210531,5.2000,5.3000,5.0000,5.1000,5163862,5.2000,5.3000,5.0000,5.1000,0,0,5000
KLF,20210528,4.8000,5.2000,4.7000,5.2000,8995424,4.8000,5.2000,4.7000,5.2000,0,13000,80000
KLF,20210527,4.9000,5.1000,4.6000,4.8000,10691069,4.9000,5.1000,4.6000,4.8000,19,25000,80000
KLF,20210526,5.1000,5.2000,4.9000,4.9000,6631500,5.1000,5.2000,4.9000,4.9000,0,20000,2300
KLF,20210525,5.2000,5.3000,5.0000,5.1000,7378900,5.2000,5.3000,5.0000,5.1000,0,2100,0
KLF,20210524,5.3000,5.4000,5.2000,5.2000,5008444,5.3000,5.4000,5.2000,5.2000,0,2100,0
KLF,20210521,5.1000,5.4000,5.1000,5.3000,6302700,5.1000,5.4000,5.1000,5.3000,0,103500,14900
KLF,20210520,5.4000,5.5000,5.1000,5.1000,7346424,5.4000,5.5000,5.1000,5.1000,0,103500,14900
KLF,20210519,5.6000,5.7000,5.4000,5.4000,7658019,5.6000,5.7000,5.4000,5.4000,0,4000,0
KLF,20210518,5.7000,5.8000,5.5000,5.6000,6340630,5.7000,5.8000,5.5000,5.6000,0,40900,0
KLF,20210517,5.7000,6.0000,5.7000,5.7000,10080953,5.7000,6.0000,5.7000,5.7000,72,77700,5000
KLF,20210514,5.2000,5.7000,5.2000,5.7000,11974850,5.2000,5.7000,5.2000,5.7000,0,20600,88000
KLF,20210513,5.3000,5.4000,5.2000,5.2000,5638340,5.3000,5.4000,5.2000,5.2000,0,0,0
KLF,20210512,5.3000,5.5000,5.1000,5.3000,5740462,5.3000,5.5000,5.1000,5.3000,0,5000,10000
KLF,20210511,5.2000,5.4000,5.1000,5.3000,6808146,5.2000,5.4000,5.1000,5.3000,0,90400,0
KLF,20210510,5.1000,5.3000,4.9000,5.1000,4892166,5.1000,5.3000,4.9000,5.1000,0,4000,5000
KLF,20210507,5.2000,5.4000,4.8000,5.1000,8996903,5.2000,5.4000,4.8000,5.1000,0,10000,0
KLF,20210506,5.5000,5.9000,5.1000,5.2000,22532843,5.5000,5.9000,5.1000,5.2000,0,20500,20000
KLF,20210505,5.0000,5.5000,4.9000,5.4000,9312595,5.0000,5.5000,4.9000,5.4000,0,0,169900
KLF,20210504,5.5000,5.5000,5.0000,5.0000,11706555,5.5000,5.5000,5.0000,5.0000,0,0,155200
KLF,20210429,5.8000,6.0000,5.5000,5.5000,5740421,5.8000,6.0000,5.5000,5.5000,20,0,30100
KLF,20210428,5.5000,5.9000,5.3000,5.7000,6442575,5.5000,5.9000,5.3000,5.7000,48,9300,150000
KLF,20210427,6.0000,6.0000,5.5000,5.6000,18126008,6.0000,6.0000,5.5000,5.6000,0,0,0
KLF,20210426,6.8000,6.8000,6.1000,6.1000,13375372,6.8000,6.8000,6.1000,6.1000,0,0,1000
KLF,20210423,6.1000,6.7000,5.8000,6.7000,20262164,6.1000,6.7000,5.8000,6.7000,0,0,31700
KLF,20210422,6.6000,6.8000,6.1000,6.1000,7665953,6.6000,6.8000,6.1000,6.1000,0,10000,10000
KLF,20210420,6.2000,6.9000,5.7000,6.6000,15566764,6.2000,6.9000,5.7000,6.6000,0,12000,57100
KLF,20210419,6.9000,7.4000,6.3000,6.3000,19410706,6.9000,7.4000,6.3000,6.3000,0,11000,3000
KLF,20210416,6.5000,6.9000,6.1000,6.9000,26215612,6.5000,6.9000,6.1000,6.9000,0,66600,57200
KLF,20210415,6.1000,6.3000,5.9000,6.3000,5723964,6.1000,6.3000,5.9000,6.3000,0,19000,60200
KLF,20210414,5.2000,5.8000,4.9000,5.8000,18540760,5.2000,5.8000,4.9000,5.8000,0,3100,300
KLF,20210413,5.2000,5.5000,5.1000,5.3000,21044902,5.2000,5.5000,5.1000,5.3000,0,3900,24300
KLF,20210412,4.7000,5.0000,4.6000,5.0000,15775858,4.7000,5.0000,4.6000,5.0000,0,10400,500
KLF,20210409,4.4000,4.7000,4.2000,4.6000,11271873,4.4000,4.7000,4.2000,4.6000,0,8700,0
KLF,20210408,4.4000,4.6000,4.2000,4.4000,11749391,4.4000,4.6000,4.2000,4.4000,62,300,13800
KLF,20210407,4.1000,4.5000,4.1000,4.4000,15282471,4.1000,4.5000,4.1000,4.4000,0,20000,3500
KLF,20210406,4.2000,4.2000,4.0000,4.1000,11412615,4.2000,4.2000,4.0000,4.1000,0,0,10000
KLF,20210405,4.1000,4.3000,4.0000,4.1000,8858971,4.1000,4.3000,4.0000,4.1000,9,0,23800
KLF,20210402,3.9000,4.1000,3.7000,4.1000,9525306,3.9000,4.1000,3.7000,4.1000,0,33800,0
KLF,20210401,4.1000,4.1000,3.8000,3.8000,11730012,4.1000,4.1000,3.8000,3.8000,0,4800,100000
KLF,20210331,4.4000,4.4000,3.9000,4.1000,26691234,4.4000,4.4000,3.9000,4.1000,0,13000,2200
KLF,20210330,4.0000,4.4000,4.0000,4.3000,15385568,4.0000,4.4000,4.0000,4.3000,3,21000,21700
KLF,20210329,3.7000,4.0000,3.7000,4.0000,13382315,3.7000,4.0000,3.7000,4.0000,0,0,30200
KLF,20210326,3.6000,3.8000,3.4000,3.7000,13411639,3.6000,3.8000,3.4000,3.7000,0,0,22100
KLF,20210325,3.6000,3.8000,3.5000,3.6000,14730953,3.6000,3.8000,3.5000,3.6000,45,16100,32400
KLF,20210324,3.8000,4.0000,3.5000,3.8000,15153920,3.8000,4.0000,3.5000,3.8000,0,123000,7000
KLF,20210323,3.5000,3.7000,3.4000,3.7000,18866700,3.5000,3.7000,3.4000,3.7000,0,77800,1000
KLF,20210322,3.3000,3.4000,3.2000,3.4000,21630313,3.3000,3.4000,3.2000,3.4000,36,25900,20000
