<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
MBS,20210615,29.9000,31.0000,29.5000,30.2000,2965574,29.9000,31.0000,29.5000,30.2000,0,200,3400
MBS,20210614,27.9000,30.5000,27.6000,29.9000,5069957,27.9000,30.5000,27.6000,29.9000,0,9300,57500
MBS,20210611,27.2000,28.8000,26.7000,28.0000,2167347,27.2000,28.8000,26.7000,28.0000,0,2500,8000
MBS,20210610,28.1000,28.2000,26.9000,27.2000,1454827,28.1000,28.2000,26.9000,27.2000,0,3000,2800
MBS,20210609,25.5000,28.0000,24.7000,27.9000,2979284,25.5000,28.0000,24.7000,27.9000,0,3000,900
MBS,20210608,28.2000,29.0000,25.4000,25.5000,3770785,28.2000,29.0000,25.4000,25.5000,0,5300,0
MBS,20210607,31.0000,31.0000,27.9000,28.2000,4265206,31.0000,31.0000,27.9000,28.2000,0,5200,7700
MBS,20210604,31.5000,32.0000,30.5000,31.0000,2597889,31.5000,32.0000,30.5000,31.0000,0,9634,40700
MBS,20210603,29.3000,32.2000,29.2000,31.5000,2883668,29.3000,32.2000,29.2000,31.5000,0,3100,13940
MBS,20210602,28.0000,29.3000,27.0000,29.3000,3798587,28.0000,29.3000,27.0000,29.3000,0,4400,10400
MBS,20210601,27.3000,29.0000,27.2000,28.0000,3277706,27.3000,29.0000,27.2000,28.0000,0,102300,0
MBS,20210531,25.0000,27.1000,24.7000,27.1000,3576935,25.0000,27.1000,24.7000,27.1000,0,14200,100
MBS,20210528,24.1000,24.8000,23.8000,24.7000,2612255,24.1000,24.8000,23.8000,24.7000,0,200,0
MBS,20210527,24.7000,25.0000,23.5000,24.1000,1958624,24.7000,25.0000,23.5000,24.1000,0,0,0
MBS,20210526,24.0000,24.8000,23.6000,24.7000,2106300,24.0000,24.8000,23.6000,24.7000,0,1900,0
MBS,20210525,23.5000,24.1000,23.2000,24.0000,2367400,23.5000,24.1000,23.2000,24.0000,0,0,4800
MBS,20210524,23.8000,23.9000,23.2000,23.5000,1786957,23.8000,23.9000,23.2000,23.5000,70,0,4800
MBS,20210521,24.5000,24.9000,23.6000,23.8000,2321832,24.5000,24.9000,23.6000,23.8000,0,0,8200
MBS,20210520,23.0000,25.2000,22.6000,24.5000,2520069,23.0000,25.2000,22.6000,24.5000,0,0,0
MBS,20210519,22.9000,23.0000,22.3000,23.0000,2318585,22.9000,23.0000,22.3000,23.0000,0,0,2000
MBS,20210518,23.7000,23.7000,22.6000,23.2000,4266979,23.7000,23.7000,22.6000,23.2000,0,500,69200
MBS,20210517,20.5000,21.6000,20.5000,21.6000,436477,20.5000,21.6000,20.5000,21.6000,0,0,0
MBS,20210514,19.9133,20.2072,19.1785,19.6929,3497161,27.1000,27.5000,26.1000,26.8000,0,8400,0
MBS,20210513,19.4724,20.2072,19.3254,19.8398,3743814,26.5000,27.5000,26.3000,27.0000,10000,100,4900
MBS,20210512,19.1050,19.4724,18.5172,19.4724,2654925,26.0000,26.5000,25.2000,26.5000,0,2000,0
MBS,20210511,19.1050,19.8398,18.7376,18.8846,2457068,26.0000,27.0000,25.5000,25.7000,0,69200,20000
MBS,20210510,17.2679,18.7376,17.1210,18.7376,4433026,23.5000,25.5000,23.3000,25.5000,0,0,1000
MBS,20210507,17.4884,17.6354,16.9006,17.0475,1214078,23.8000,24.0000,23.0000,23.2000,0,1000,2100
MBS,20210506,17.9293,18.0028,17.4149,17.4884,785218,24.4000,24.5000,23.7000,23.8000,0,100,0
MBS,20210505,17.3415,18.1498,17.1211,17.8558,1691655,23.6000,24.7000,23.3000,24.3000,0,3000,6900
MBS,20210504,17.1210,17.3415,16.6067,17.3415,957610,23.3000,23.6000,22.6000,23.6000,0,200,15000
MBS,20210429,16.9006,17.1945,16.8271,17.1945,856459,23.0000,23.4000,22.9000,23.4000,0,0,44700
MBS,20210428,16.7536,17.1945,16.7536,16.9006,608917,22.8000,23.4000,22.8000,23.0000,0,0,0
MBS,20210427,16.9741,17.2680,16.4597,16.7536,641825,23.1000,23.5000,22.4000,22.8000,0,15000,18500
MBS,20210426,18.0028,18.0028,16.9006,16.9741,1171798,24.5000,24.5000,23.0000,23.1000,0,2400,0
MBS,20210423,16.5332,18.0028,14.9901,18.0028,1815584,22.5000,24.5000,20.4000,24.5000,70,2200,13900
