<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PVB,20210615,16.9000,16.9000,16.2000,16.2000,246915,16.9000,16.9000,16.2000,16.2000,0,0,2200
PVB,20210614,16.5000,17.0000,16.3000,16.5000,190740,16.5000,17.0000,16.3000,16.5000,0,8900,0
PVB,20210611,16.2000,17.0000,15.9000,16.3000,226506,16.2000,17.0000,15.9000,16.3000,0,0,0
PVB,20210610,16.8000,16.8000,15.5000,15.9000,514500,16.8000,16.8000,15.5000,15.9000,0,200,0
PVB,20210609,16.8000,17.2000,16.3000,16.8000,395736,16.8000,17.2000,16.3000,16.8000,0,0,0
PVB,20210608,18.9000,18.9000,16.8000,16.8000,378400,18.9000,18.9000,16.8000,16.8000,0,2700,0
PVB,20210607,19.0000,19.8000,17.7000,18.6000,692538,19.0000,19.8000,17.7000,18.6000,0,3000,100
PVB,20210604,17.0000,18.7000,16.4000,18.6000,1255867,17.0000,18.7000,16.4000,18.6000,0,0,5000
PVB,20210603,17.1000,17.5000,16.6000,17.0000,613854,17.1000,17.5000,16.6000,17.0000,0,100,500
PVB,20210602,16.3000,17.1000,16.3000,17.0000,530200,16.3000,17.1000,16.3000,17.0000,0,0,0
PVB,20210601,15.2000,16.8000,15.2000,16.3000,418755,15.2000,16.8000,15.2000,16.3000,0,0,0
PVB,20210531,15.1000,15.9000,14.7000,15.8000,340913,15.1000,15.9000,14.7000,15.8000,0,0,0
PVB,20210528,14.4000,15.1000,14.4000,15.0000,277405,14.4000,15.1000,14.4000,15.0000,0,0,0
PVB,20210527,14.8000,14.8000,14.3000,14.4000,140300,14.8000,14.8000,14.3000,14.4000,0,0,0
PVB,20210526,15.1000,15.1000,14.6000,14.8000,97700,15.1000,15.1000,14.6000,14.8000,0,0,0
PVB,20210525,14.6000,15.3000,14.6000,15.1000,186000,14.6000,15.3000,14.6000,15.1000,0,0,0
PVB,20210524,14.5000,14.8000,14.4000,14.6000,113010,14.5000,14.8000,14.4000,14.6000,0,0,0
PVB,20210521,14.0000,14.6000,13.4000,14.5000,356200,14.0000,14.6000,13.4000,14.5000,0,0,0
PVB,20210520,14.6000,14.6000,13.9000,14.0000,184431,14.6000,14.6000,13.9000,14.0000,0,500,0
PVB,20210519,15.1000,15.1000,14.5000,14.6000,206010,15.1000,15.1000,14.5000,14.6000,0,0,1000
PVB,20210518,15.3000,15.3000,15.0000,15.1000,165400,15.3000,15.3000,15.0000,15.1000,0,0,500
PVB,20210517,15.4000,15.5000,15.1000,15.3000,125340,15.4000,15.5000,15.1000,15.3000,0,500,0
PVB,20210514,15.4000,15.5000,15.2000,15.4000,107900,15.4000,15.5000,15.2000,15.4000,0,0,0
PVB,20210513,15.8000,16.1000,15.4000,15.4000,133000,15.8000,16.1000,15.4000,15.4000,0,500,0
PVB,20210512,15.6000,16.0000,15.6000,15.8000,91600,15.6000,16.0000,15.6000,15.8000,0,0,0
PVB,20210511,15.4000,15.8000,15.0000,15.6000,162102,15.4000,15.8000,15.0000,15.6000,0,0,0
PVB,20210510,15.7000,15.7000,15.1000,15.4000,120000,15.7000,15.7000,15.1000,15.4000,0,1100,0
PVB,20210507,15.7000,15.9000,15.4000,15.7000,91522,15.7000,15.9000,15.4000,15.7000,0,0,0
PVB,20210506,16.4000,16.5000,15.8000,16.0000,154000,16.4000,16.5000,15.8000,16.0000,0,0,0
PVB,20210505,15.4000,16.6000,15.4000,16.6000,270811,15.4000,16.6000,15.4000,16.6000,0,0,0
PVB,20210504,15.0000,15.6000,15.0000,15.5000,186930,15.0000,15.6000,15.0000,15.5000,0,0,0
PVB,20210429,15.7000,16.0000,15.4000,15.6000,98800,15.7000,16.0000,15.4000,15.6000,0,1400,0
PVB,20210428,15.5000,15.8000,15.3000,15.7000,78700,15.5000,15.8000,15.3000,15.7000,0,0,0
PVB,20210427,15.4000,15.5000,15.0000,15.4000,68200,15.4000,15.5000,15.0000,15.4000,0,0,0
PVB,20210426,16.3000,16.3000,15.4000,15.4000,103903,16.3000,16.3000,15.4000,15.4000,0,0,0
PVB,20210423,15.6000,16.1000,15.1000,16.0000,194300,15.6000,16.1000,15.1000,16.0000,0,3000,0
PVB,20210422,16.8000,16.9000,15.4000,15.4000,285700,16.8000,16.9000,15.4000,15.4000,0,100,0
PVB,20210420,17.2000,17.2000,16.9000,16.9000,183130,17.2000,17.2000,16.9000,16.9000,0,2000,0
PVB,20210419,17.1000,17.3000,16.9000,17.1000,166719,17.1000,17.3000,16.9000,17.1000,0,200,20200
PVB,20210416,17.8000,17.8000,17.0000,17.5000,241910,17.8000,17.8000,17.0000,17.5000,0,100,3800
PVB,20210415,18.0000,18.2000,17.5000,17.7000,294406,18.0000,18.2000,17.5000,17.7000,0,2000,0
PVB,20210414,17.8000,17.9000,17.5000,17.8000,237260,17.8000,17.9000,17.5000,17.8000,0,0,0
PVB,20210413,18.0000,18.1000,17.8000,17.9000,348520,18.0000,18.1000,17.8000,17.9000,0,0,0
PVB,20210412,18.3000,18.3000,17.9000,18.0000,584018,18.3000,18.3000,17.9000,18.0000,0,25000,0
PVB,20210409,19.0000,19.0000,18.2000,18.4000,486734,19.0000,19.0000,18.2000,18.4000,0,1000,0
PVB,20210408,18.6000,18.7000,18.3000,18.6000,264810,18.6000,18.7000,18.3000,18.6000,0,0,0
PVB,20210407,18.6000,18.8000,18.3000,18.6000,256030,18.6000,18.8000,18.3000,18.6000,0,0,6000
PVB,20210406,18.3000,18.4000,18.0000,18.4000,285900,18.3000,18.4000,18.0000,18.4000,0,1000,0
PVB,20210405,18.5000,18.6000,18.2000,18.4000,314633,18.5000,18.6000,18.2000,18.4000,0,0,100
PVB,20210402,18.7000,19.1000,18.4000,18.6000,183000,18.7000,19.1000,18.4000,18.6000,0,0,0
PVB,20210401,18.2000,18.8000,17.8000,18.7000,347410,18.2000,18.8000,17.8000,18.7000,0,1000,0
PVB,20210331,18.0000,18.4000,17.9000,18.2000,237835,18.0000,18.4000,17.9000,18.2000,0,0,0
PVB,20210330,17.8000,18.1000,17.7000,18.1000,218100,17.8000,18.1000,17.7000,18.1000,0,700,0
PVB,20210329,17.8000,18.0000,17.3000,17.8000,139900,17.8000,18.0000,17.3000,17.8000,0,100,200
PVB,20210326,17.6000,17.7000,16.3000,17.6000,346583,17.6000,17.7000,16.3000,17.6000,0,2100,0
PVB,20210325,18.0000,18.1000,17.0000,17.5000,279200,18.0000,18.1000,17.0000,17.5000,0,2000,0
PVB,20210324,18.5000,18.5000,17.3000,17.9000,533380,18.5000,18.5000,17.3000,17.9000,0,0,200
PVB,20210323,18.9000,19.0000,18.4000,18.6000,500100,18.9000,19.0000,18.4000,18.6000,0,100,200
PVB,20210322,19.4000,19.5000,19.0000,19.1000,249052,19.4000,19.5000,19.0000,19.1000,0,1100,2000
PVB,20210319,19.4000,19.5000,18.5000,19.4000,366400,19.4000,19.5000,18.5000,19.4000,0,0,0
PVB,20210318,19.8000,20.3000,19.5000,19.7000,129602,19.8000,20.3000,19.5000,19.7000,0,100,4900
