<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VMC,20210615,10.4000,10.8000,10.4000,10.7000,30550,10.4000,10.8000,10.4000,10.7000,0,0,0
VMC,20210614,10.7000,10.7000,10.6000,10.6000,13900,10.7000,10.7000,10.6000,10.6000,0,0,0
VMC,20210611,10.9000,11.0000,10.6000,10.6000,265004,10.9000,11.0000,10.6000,10.6000,750000,0,0
VMC,20210610,11.0000,11.0000,10.5000,10.9000,11800,11.0000,11.0000,10.5000,10.9000,0,0,0
VMC,20210609,10.8000,11.0000,10.3000,10.9000,33800,10.8000,11.0000,10.3000,10.9000,0,0,0
VMC,20210608,11.0000,11.2000,10.7000,10.8000,469506,11.0000,11.2000,10.7000,10.8000,630000,0,2400
VMC,20210607,10.9000,10.9000,10.4000,10.7000,48602,10.9000,10.9000,10.4000,10.7000,0,0,0
VMC,20210604,10.9000,10.9000,10.5000,10.9000,67855,10.9000,10.9000,10.5000,10.9000,0,0,0
VMC,20210603,11.5000,11.5000,11.0000,11.0000,100500,11.5000,11.5000,11.0000,11.0000,0,0,0
VMC,20210602,10.2000,11.1000,10.0000,11.1000,131150,10.2000,11.1000,10.0000,11.1000,0,0,0
VMC,20210601,10.0000,10.3000,10.0000,10.1000,62022,10.0000,10.3000,10.0000,10.1000,140000,0,0
VMC,20210531,10.0000,10.1000,9.6000,10.0000,551714,10.0000,10.1000,9.6000,10.0000,688000,0,0
VMC,20210528,9.8000,10.0000,9.8000,9.9000,9710,9.8000,10.0000,9.8000,9.9000,0,0,0
VMC,20210527,10.1000,10.1000,9.8000,10.0000,15628,10.1000,10.1000,9.8000,10.0000,0,0,0
VMC,20210526,10.0000,10.1000,10.0000,10.1000,32300,10.0000,10.1000,10.0000,10.1000,0,0,0
VMC,20210525,10.3000,10.5000,9.9000,9.9000,35500,10.3000,10.5000,9.9000,9.9000,0,0,0
VMC,20210524,10.1000,10.2000,10.0000,10.0000,39044,10.1000,10.2000,10.0000,10.0000,0,0,0
VMC,20210521,9.8000,10.1000,9.8000,10.0000,39111,9.8000,10.1000,9.8000,10.0000,0,0,0
VMC,20210520,10.1000,10.1000,9.6000,9.8000,63500,10.1000,10.1000,9.6000,9.8000,0,0,0
VMC,20210519,10.3000,10.3000,10.1000,10.1000,39119,10.3000,10.3000,10.1000,10.1000,0,0,0
VMC,20210518,10.5000,10.5000,10.3000,10.4000,6020,10.5000,10.5000,10.3000,10.4000,0,0,0
VMC,20210517,10.5000,10.5000,10.4000,10.4000,16000,10.5000,10.5000,10.4000,10.4000,0,0,0
VMC,20210514,10.6000,10.6000,10.3000,10.4000,88600,10.6000,10.6000,10.3000,10.4000,188000,0,0
VMC,20210513,10.7000,10.7000,10.5000,10.7000,58025,10.7000,10.7000,10.5000,10.7000,0,0,0
VMC,20210512,10.7000,10.7000,10.4000,10.7000,35300,10.7000,10.7000,10.4000,10.7000,0,0,0
VMC,20210511,10.7000,10.9000,10.6000,10.8000,9300,10.7000,10.9000,10.6000,10.8000,0,0,0
VMC,20210510,10.6000,10.7000,10.5000,10.7000,18508,10.6000,10.7000,10.5000,10.7000,0,0,0
VMC,20210507,10.7000,10.9000,10.6000,10.6000,17311,10.7000,10.9000,10.6000,10.6000,80,0,0
VMC,20210506,10.7000,10.8000,10.6000,10.7000,28700,10.7000,10.8000,10.6000,10.7000,0,0,0
VMC,20210505,10.6000,11.2000,10.6000,10.8000,58500,10.6000,11.2000,10.6000,10.8000,0,0,0
VMC,20210504,10.7000,10.7000,10.5000,10.6000,18400,10.7000,10.7000,10.5000,10.6000,0,0,0
VMC,20210429,10.9000,10.9000,10.7000,10.7000,31400,10.9000,10.9000,10.7000,10.7000,0,0,0
VMC,20210428,10.8000,10.9000,10.7000,10.8000,16200,10.8000,10.9000,10.7000,10.8000,0,0,0
VMC,20210427,10.8000,10.8000,10.7000,10.8000,17200,10.8000,10.8000,10.7000,10.8000,0,0,0
VMC,20210426,11.5000,11.5000,10.7000,10.8000,61765,11.5000,11.5000,10.7000,10.8000,0,0,0
VMC,20210423,11.2000,11.5000,10.8000,11.1000,35500,11.2000,11.5000,10.8000,11.1000,0,0,0
VMC,20210422,11.9000,11.9000,11.2000,11.2000,90800,11.9000,11.9000,11.2000,11.2000,0,0,0
VMC,20210420,12.1000,12.1000,11.8000,11.8000,71600,12.1000,12.1000,11.8000,11.8000,0,0,0
VMC,20210419,12.0000,12.1000,11.9000,12.1000,22620,12.0000,12.1000,11.9000,12.1000,0,0,0
VMC,20210416,12.4000,12.4000,12.0000,12.1000,66684,12.4000,12.4000,12.0000,12.1000,0,0,0
VMC,20210415,12.0000,12.6000,12.0000,12.4000,261811,12.0000,12.6000,12.0000,12.4000,0,0,0
VMC,20210414,12.2000,12.2000,11.9000,12.1000,46400,12.2000,12.2000,11.9000,12.1000,0,0,0
VMC,20210413,12.2000,12.3000,11.9000,12.2000,159963,12.2000,12.3000,11.9000,12.2000,172000,50000,0
VMC,20210412,12.3000,12.3000,12.0000,12.2000,171100,12.3000,12.3000,12.0000,12.2000,0,0,0
VMC,20210409,12.3000,12.3000,11.9000,12.3000,62318,12.3000,12.3000,11.9000,12.3000,172000,0,0
VMC,20210408,12.4000,13.0000,12.1000,12.3000,99149,12.4000,13.0000,12.1000,12.3000,172000,0,0
VMC,20210407,11.7000,12.7000,11.4000,12.3000,237002,11.7000,12.7000,11.4000,12.3000,286600,0,2000
VMC,20210406,11.7000,11.7000,11.4000,11.7000,41700,11.7000,11.7000,11.4000,11.7000,847000,0,0
VMC,20210405,11.7000,11.8000,11.3000,11.7000,71811,11.7000,11.8000,11.3000,11.7000,758200,0,0
VMC,20210402,11.7000,11.7000,11.5000,11.7000,51133,11.7000,11.7000,11.5000,11.7000,358000,0,0
VMC,20210401,11.5000,11.9000,11.5000,11.8000,21411,11.5000,11.9000,11.5000,11.8000,345000,0,0
VMC,20210331,11.7000,11.8000,11.4000,11.5000,51800,11.7000,11.8000,11.4000,11.5000,348000,0,0
VMC,20210330,11.8000,11.8000,11.6000,11.6000,44700,11.8000,11.8000,11.6000,11.6000,358000,0,0
VMC,20210329,11.8000,12.0000,11.5000,11.8000,49104,11.8000,12.0000,11.5000,11.8000,0,0,0
VMC,20210326,11.5000,11.7000,11.3000,11.7000,95500,11.5000,11.7000,11.3000,11.7000,897000,0,0
VMC,20210325,12.0000,12.0000,11.7000,11.8000,28111,12.0000,12.0000,11.7000,11.8000,358000,2000,0
VMC,20210324,12.0000,12.0000,11.6000,12.0000,45120,12.0000,12.0000,11.6000,12.0000,0,0,0
VMC,20210323,12.0000,12.5000,11.9000,12.1000,174200,12.0000,12.5000,11.9000,12.1000,874000,0,0
VMC,20210322,11.5000,12.5000,11.4000,12.0000,193700,11.5000,12.5000,11.4000,12.0000,358000,0,0
VMC,20210319,11.5000,11.5000,11.3000,11.5000,16910,11.5000,11.5000,11.3000,11.5000,0,0,0
VMC,20210318,11.5000,11.5000,11.3000,11.5000,30710,11.5000,11.5000,11.3000,11.5000,182020,0,0
VMC,20210317,11.5000,11.5000,11.3000,11.5000,51400,11.5000,11.5000,11.3000,11.5000,0,0,0
VMC,20210316,11.6000,11.6000,11.4000,11.5000,34800,11.6000,11.6000,11.4000,11.5000,0,0,0
VMC,20210315,11.5000,11.6000,11.3000,11.6000,53300,11.5000,11.6000,11.3000,11.6000,0,0,0
VMC,20210312,11.1000,11.5000,11.1000,11.4000,48400,11.1000,11.5000,11.1000,11.4000,0,0,0
VMC,20210311,11.4000,11.6000,11.0000,11.1000,293198,11.4000,11.6000,11.0000,11.1000,0,0,0
VMC,20210310,11.5000,11.6000,11.0000,11.4000,130955,11.5000,11.6000,11.0000,11.4000,0,0,0
VMC,20210309,11.8000,11.8000,11.3000,11.5000,35400,11.8000,11.8000,11.3000,11.5000,0,0,0
VMC,20210308,11.8000,12.5000,11.8000,11.8000,77439,11.8000,12.5000,11.8000,11.8000,0,0,0
VMC,20210305,10.9000,11.9000,10.7000,11.8000,220950,10.9000,11.9000,10.7000,11.8000,0,0,0
VMC,20210304,11.0000,11.3000,10.9000,10.9000,54602,11.0000,11.3000,10.9000,10.9000,0,0,0
VMC,20210303,11.2000,11.2000,11.0000,11.0000,37531,11.2000,11.2000,11.0000,11.0000,0,0,1000
VMC,20210302,10.9000,11.4000,10.7000,11.2000,231617,10.9000,11.4000,10.7000,11.2000,0,0,0
VMC,20210301,10.9000,11.0000,10.6000,10.9000,143482,10.9000,11.0000,10.6000,10.9000,0,0,1000
VMC,20210226,10.9000,10.9000,10.4000,10.9000,24700,10.9000,10.9000,10.4000,10.9000,0,0,300
VMC,20210225,10.8000,11.0000,10.6000,11.0000,70100,10.8000,11.0000,10.6000,11.0000,0,0,600
VMC,20210224,11.5000,11.5000,10.7000,10.8000,28600,11.5000,11.5000,10.7000,10.8000,0,0,0
VMC,20210223,10.6997,10.7927,10.5136,10.6997,72408,11.5000,11.6000,11.3000,11.5000,957052,1000,0
VMC,20210222,10.6997,10.9788,10.1415,10.6997,54900,11.5000,11.8000,10.9000,11.5000,0,0,0
VMC,20210219,10.7927,10.7927,10.6067,10.6997,33200,11.6000,11.6000,11.4000,11.5000,0,100,0
