<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
ATA,20210611,1.4000,1.4000,1.4000,1.4000,67846,1.4000,1.4000,1.4000,1.4000,0,0,0
ATA,20210604,1.3000,1.3000,1.3000,1.3000,227000,1.3000,1.3000,1.3000,1.3000,0,0,0
ATA,20210528,1.2000,1.2000,1.2000,1.2000,1004230,1.2000,1.2000,1.2000,1.2000,0,0,0
ATA,20210521,1.1000,1.1000,1.1000,1.1000,120900,1.1000,1.1000,1.1000,1.1000,0,0,0
ATA,20210514,1.0000,1.0000,1.0000,1.0000,167940,1.0000,1.0000,1.0000,1.0000,0,0,0
ATA,20210423,0.8000,0.8000,0.8000,0.8000,1449356,0.8000,0.8000,0.8000,0.8000,0,0,0
ATA,20210416,0.7000,0.7000,0.7000,0.7000,605092,0.7000,0.7000,0.7000,0.7000,0,0,0
ATA,20210402,0.5000,0.6000,0.5000,0.5000,1114845,0.5000,0.6000,0.5000,0.5000,0,0,0
ATA,20210326,0.5000,0.5000,0.4000,0.5000,1097180,0.5000,0.5000,0.4000,0.5000,0,0,0
ATA,20210319,0.4000,0.5000,0.3000,0.4000,454501,0.4000,0.5000,0.3000,0.4000,0,0,50000
ATA,20210305,0.4000,0.4000,0.3000,0.4000,389025,0.4000,0.4000,0.3000,0.4000,0,0,0
ATA,20210226,0.4000,0.5000,0.3000,0.4000,398005,0.4000,0.5000,0.3000,0.4000,0,0,0
ATA,20210205,0.4000,0.5000,0.4000,0.5000,1410600,0.4000,0.5000,0.4000,0.5000,0,0,0
ATA,20210129,0.4000,0.5000,0.4000,0.5000,531960,0.4000,0.5000,0.4000,0.5000,0,0,0
ATA,20210115,0.3000,0.4000,0.3000,0.4000,648130,0.3000,0.4000,0.3000,0.4000,0,0,0
ATA,20210108,0.2000,0.3000,0.2000,0.3000,1364860,0.2000,0.3000,0.2000,0.3000,0,0,0
ATA,20201211,0.2000,0.3000,0.2000,0.3000,190521,0.2000,0.3000,0.2000,0.3000,0,0,0
ATA,20201204,0.2000,0.3000,0.2000,0.3000,12620,0.2000,0.3000,0.2000,0.3000,0,0,0
ATA,20201127,0.3000,0.3000,0.2000,0.3000,440610,0.3000,0.3000,0.2000,0.3000,0,0,0
ATA,20201120,0.2000,0.3000,0.2000,0.3000,92301,0.2000,0.3000,0.2000,0.3000,0,0,0
ATA,20201113,0.3000,0.3000,0.2000,0.3000,162900,0.3000,0.3000,0.2000,0.3000,0,0,0
ATA,20201106,0.3000,0.3000,0.2000,0.3000,579600,0.3000,0.3000,0.2000,0.3000,0,2000,0
ATA,20201030,0.3000,0.3000,0.3000,0.3000,200,0.3000,0.3000,0.3000,0.3000,0,0,0
ATA,20201023,0.3000,0.4000,0.2000,0.3000,382410,0.3000,0.4000,0.2000,0.3000,0,0,0
ATA,20201016,0.3000,0.3000,0.2000,0.3000,4200,0.3000,0.3000,0.2000,0.3000,0,0,0
ATA,20201009,0.3000,0.3000,0.2000,0.3000,49000,0.3000,0.3000,0.2000,0.3000,0,0,0
ATA,20201002,0.3000,0.3000,0.2000,0.3000,78400,0.3000,0.3000,0.2000,0.3000,0,0,0
ATA,20200925,0.4000,0.4000,0.2000,0.3000,57000,0.4000,0.4000,0.2000,0.3000,0,0,0
ATA,20200918,0.3000,0.4000,0.3000,0.4000,163808,0.3000,0.4000,0.3000,0.4000,0,0,0
ATA,20200911,0.3000,0.4000,0.2000,0.4000,250101,0.3000,0.4000,0.2000,0.4000,0,0,0
ATA,20200904,0.3000,0.4000,0.2000,0.3000,140400,0.3000,0.4000,0.2000,0.3000,0,0,0
ATA,20200828,0.3000,0.4000,0.3000,0.4000,209401,0.3000,0.4000,0.3000,0.4000,0,0,0
ATA,20200821,0.3000,0.3000,0.3000,0.3000,1212,0.3000,0.3000,0.3000,0.3000,0,0,0
ATA,20200814,0.3000,0.3000,0.2000,0.3000,51502,0.3000,0.3000,0.2000,0.3000,0,0,0
ATA,20200807,0.3000,0.3000,0.2000,0.3000,1400,0.3000,0.3000,0.2000,0.3000,0,0,0
ATA,20200731,0.3000,0.3000,0.3000,0.3000,10310,0.3000,0.3000,0.3000,0.3000,0,0,0
ATA,20200717,0.2000,0.3000,0.2000,0.3000,19900,0.2000,0.3000,0.2000,0.3000,0,0,0
ATA,20200710,0.3000,0.3000,0.2000,0.3000,6502,0.3000,0.3000,0.2000,0.3000,0,0,0
ATA,20200703,0.3000,0.3000,0.2000,0.3000,25422,0.3000,0.3000,0.2000,0.3000,0,0,0
ATA,20200626,0.2000,0.2000,0.2000,0.2000,43600,0.2000,0.2000,0.2000,0.2000,0,0,0
ATA,20200619,0.3000,0.3000,0.2000,0.3000,110120,0.3000,0.3000,0.2000,0.3000,0,0,0
ATA,20200612,0.1000,0.3000,0.1000,0.3000,137700,0.1000,0.3000,0.1000,0.3000,0,0,0
ATA,20200605,0.2000,0.2000,0.1000,0.1000,93500,0.2000,0.2000,0.1000,0.1000,0,0,0
