<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
BIO,20210615,54.0000,59.6000,54.0000,57.2000,23202,54.0000,59.6000,54.0000,57.2000,0,100,0
BIO,20210614,59.0000,63.0000,51.5000,55.5000,49100,59.0000,63.0000,51.5000,55.5000,0,100,100
BIO,20210611,66.0000,66.5000,56.9000,57.2000,60150,66.0000,66.5000,56.9000,57.2000,0,600,11400
BIO,20210610,67.8000,68.9000,66.0000,66.0000,35801,67.8000,68.9000,66.0000,66.0000,0,100,0
BIO,20210609,58.0000,71.5000,58.0000,70.0000,23800,58.0000,71.5000,58.0000,70.0000,0,0,500
BIO,20210608,80.0000,90.9000,67.3000,67.3000,198801,80.0000,90.9000,67.3000,67.3000,0,1200,300
BIO,20210607,93.0000,93.7000,69.3000,93.7000,105903,93.0000,93.7000,69.3000,93.7000,0,200,0
BIO,20210604,71.3000,81.9000,70.0000,81.9000,35400,71.3000,81.9000,70.0000,81.9000,0,3200,0
BIO,20210603,69.9000,94.5000,69.9000,69.9000,166549,69.9000,94.5000,69.9000,69.9000,0,8000,0
BIO,20210602,82.2000,82.2000,82.2000,82.2000,3751,82.2000,82.2000,82.2000,82.2000,0,100,0
BIO,20210601,96.6000,96.6000,96.6000,96.6000,2800,96.6000,96.6000,96.6000,96.6000,0,200,0
BIO,20210531,114.0000,114.0000,113.6000,113.6000,2600,114.0000,114.0000,113.6000,113.6000,0,200,0
BIO,20210528,161.2000,161.2000,130.3000,130.3000,29100,161.2000,161.2000,130.3000,130.3000,0,400,0
BIO,20210527,161.0000,161.1000,119.1000,161.0000,40200,161.0000,161.1000,119.1000,161.0000,0,0,0
BIO,20210526,140.1000,140.1000,140.1000,140.1000,12100,140.1000,140.1000,140.1000,140.1000,0,0,0
BIO,20210525,121.9000,121.9000,121.9000,121.9000,1300,121.9000,121.9000,121.9000,121.9000,0,200,0
BIO,20210524,106.1000,106.1000,92.5000,106.1000,23000,106.1000,106.1000,92.5000,106.1000,0,200,0
BIO,20210521,92.3000,92.3000,92.3000,92.3000,5500,92.3000,92.3000,92.3000,92.3000,0,0,0
BIO,20210520,80.3000,80.3000,80.3000,80.3000,2200,80.3000,80.3000,80.3000,80.3000,0,0,0
BIO,20210519,69.9000,69.9000,69.9000,69.9000,800,69.9000,69.9000,69.9000,69.9000,0,0,0
BIO,20210518,60.8000,60.8000,60.8000,60.8000,1700,60.8000,60.8000,60.8000,60.8000,0,0,0
BIO,20210517,52.9000,52.9000,52.9000,52.9000,1600,52.9000,52.9000,52.9000,52.9000,0,0,0
BIO,20210514,46.0000,46.0000,46.0000,46.0000,3500,46.0000,46.0000,46.0000,46.0000,0,0,0
BIO,20210513,40.0000,40.0000,40.0000,40.0000,5800,40.0000,40.0000,40.0000,40.0000,0,0,0
BIO,20210512,34.8000,34.8000,34.8000,34.8000,1700,34.8000,34.8000,34.8000,34.8000,0,0,0
BIO,20210511,30.3000,30.3000,30.3000,30.3000,600,30.3000,30.3000,30.3000,30.3000,0,0,0
BIO,20210510,26.3000,26.4000,26.3000,26.4000,4700,26.3000,26.4000,26.3000,26.4000,0,0,0
BIO,20210507,21.3000,24.0000,21.0000,24.0000,1700,21.3000,24.0000,21.0000,24.0000,0,0,0
BIO,20210506,21.0000,21.0000,15.6000,21.0000,1900,21.0000,21.0000,15.6000,21.0000,1621980,0,0
BIO,20210505,21.3000,21.3000,15.9000,15.9000,10100,21.3000,21.3000,15.9000,15.9000,2734700,0,0
BIO,20210504,18.6000,18.6000,18.6000,18.6000,200,18.6000,18.6000,18.6000,18.6000,0,0,0
BIO,20210429,16.0000,17.4000,16.0000,17.4000,2400,16.0000,17.4000,16.0000,17.4000,0,0,0
BIO,20210426,15.5000,15.5000,15.0000,15.2000,3000,15.5000,15.5000,15.0000,15.2000,0,0,0
BIO,20210423,15.2000,15.2000,15.2000,15.2000,2500,15.2000,15.2000,15.2000,15.2000,0,0,0
BIO,20210422,13.3000,13.3000,13.3000,13.3000,100,13.3000,13.3000,13.3000,13.3000,0,0,0
