<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
CTN,20210611,2.2000,2.2000,2.2000,2.2000,289,2.2000,2.2000,2.2000,2.2000,0,280,0
CTN,20210604,2.3000,2.3000,2.2000,2.2000,1200,2.3000,2.3000,2.2000,2.2000,0,200,0
CTN,20210528,2.4000,2.4000,2.3000,2.3000,3281,2.4000,2.4000,2.3000,2.3000,0,47,0
CTN,20210521,2.3000,2.5000,2.3000,2.5000,4300,2.3000,2.5000,2.3000,2.5000,0,0,0
CTN,20210514,2.3000,2.3000,2.3000,2.3000,1399,2.3000,2.3000,2.3000,2.3000,0,50,0
CTN,20210507,2.0000,2.1000,2.0000,2.1000,5976,2.0000,2.1000,2.0000,2.1000,0,0,76
CTN,20210423,1.9000,1.9000,1.7000,1.9000,15135,1.9000,1.9000,1.7000,1.9000,0,0,0
CTN,20210416,1.7000,1.7000,1.7000,1.7000,8835,1.7000,1.7000,1.7000,1.7000,0,0,0
CTN,20210409,1.6000,1.6000,1.6000,1.6000,16300,1.6000,1.6000,1.6000,1.6000,0,0,0
CTN,20210402,1.4000,1.4000,1.4000,1.4000,10750,1.4000,1.4000,1.4000,1.4000,0,50,0
CTN,20210319,1.3000,1.3000,1.2000,1.2000,770,1.3000,1.3000,1.2000,1.2000,0,7,0
CTN,20210312,1.0000,1.2000,1.0000,1.2000,4200,1.0000,1.2000,1.0000,1.2000,0,0,0
CTN,20210305,1.1000,1.1000,1.0000,1.0000,6015,1.1000,1.1000,1.0000,1.0000,0,0,0
CTN,20210226,0.9000,1.0000,0.9000,1.0000,3400,0.9000,1.0000,0.9000,1.0000,0,0,0
CTN,20210205,0.8000,0.8000,0.8000,0.8000,163,0.8000,0.8000,0.8000,0.8000,0,0,0
CTN,20210129,0.7000,0.7000,0.7000,0.7000,100,0.7000,0.7000,0.7000,0.7000,0,0,0
CTN,20210115,0.4000,0.5000,0.4000,0.5000,1688,0.4000,0.5000,0.4000,0.5000,0,0,0
CTN,20201218,0.4000,0.5000,0.4000,0.5000,10290,0.4000,0.5000,0.4000,0.5000,0,0,0
CTN,20201127,0.4000,0.4000,0.4000,0.4000,2800,0.4000,0.4000,0.4000,0.4000,0,0,0
CTN,20201113,0.4000,0.4000,0.4000,0.4000,2044,0.4000,0.4000,0.4000,0.4000,0,0,0
CTN,20201030,0.3000,0.4000,0.3000,0.4000,2800,0.3000,0.4000,0.3000,0.4000,0,0,0
CTN,20201023,0.3000,0.3000,0.3000,0.3000,3600,0.3000,0.3000,0.3000,0.3000,0,0,2700
CTN,20201009,0.1000,0.2000,0.1000,0.2000,5735,0.1000,0.2000,0.1000,0.2000,0,0,0
CTN,20201002,0.2000,0.2000,0.2000,0.2000,700,0.2000,0.2000,0.2000,0.2000,0,0,0
CTN,20200918,0.2000,0.2000,0.2000,0.2000,100,0.2000,0.2000,0.2000,0.2000,0,0,0
CTN,20200828,0.3000,0.3000,0.3000,0.3000,1,0.3000,0.3000,0.3000,0.3000,0,0,0
CTN,20200821,0.3000,0.3000,0.3000,0.3000,100,0.3000,0.3000,0.3000,0.3000,0,0,0
CTN,20200814,0.2000,0.2000,0.2000,0.2000,18,0.2000,0.2000,0.2000,0.2000,0,0,0
CTN,20200703,0.2000,0.2000,0.0000,0.2000,2,0.2000,0.2000,0.0000,0.2000,0,0,0
CTN,20200612,0.2000,0.3000,0.1000,0.2000,2520,0.2000,0.3000,0.1000,0.2000,0,0,0
CTN,20200605,0.2000,0.3000,0.2000,0.3000,356,0.2000,0.3000,0.2000,0.3000,0,0,0
CTN,20200529,0.2000,0.2000,0.2000,0.2000,10,0.2000,0.2000,0.2000,0.2000,0,0,0
CTN,20200522,0.2000,0.2000,0.2000,0.2000,132,0.2000,0.2000,0.2000,0.2000,0,0,0
CTN,20200424,0.2000,0.2000,0.2000,0.2000,70,0.2000,0.2000,0.2000,0.2000,0,0,70
CTN,20200417,0.2000,0.2000,0.2000,0.2000,600,0.2000,0.2000,0.2000,0.2000,0,0,0
CTN,20200403,0.2000,0.2000,0.2000,0.2000,100,0.2000,0.2000,0.2000,0.2000,0,0,0
CTN,20200320,0.2000,0.2000,0.2000,0.2000,8620,0.2000,0.2000,0.2000,0.2000,0,0,4500
CTN,20200313,0.2000,0.2000,0.2000,0.2000,100,0.2000,0.2000,0.2000,0.2000,0,0,0
CTN,20200306,0.1000,0.2000,0.1000,0.2000,5100,0.1000,0.2000,0.1000,0.2000,0,0,0
CTN,20200228,0.1000,0.1000,0.1000,0.1000,1000,0.1000,0.1000,0.1000,0.1000,0,0,0
CTN,20200103,0.1000,0.1000,0.1000,0.1000,70,0.1000,0.1000,0.1000,0.1000,0,0,0
CTN,20191220,0.1000,0.1000,0.1000,0.1000,400,0.1000,0.1000,0.1000,0.1000,0,0,0
CTN,20191206,0.2000,0.2000,0.2000,0.2000,1100,0.2000,0.2000,0.2000,0.2000,0,0,0
CTN,20191018,0.2000,0.2000,0.2000,0.2000,4,0.2000,0.2000,0.2000,0.2000,0,0,0
CTN,20190830,0.2000,0.2000,0.2000,0.2000,1500,0.2000,0.2000,0.2000,0.2000,0,0,0
