<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
S27,20210611,1.7000,1.7000,1.7000,1.7000,400,1.7000,1.7000,1.7000,1.7000,0,0,0
S27,20210604,1.9000,1.9000,1.8000,1.8000,13600,1.9000,1.9000,1.8000,1.8000,0,0,0
S27,20210528,2.0000,2.6000,2.0000,2.0000,8800,2.0000,2.6000,2.0000,2.0000,0,0,0
S27,20210521,2.3000,2.3000,2.3000,2.3000,5000,2.3000,2.3000,2.3000,2.3000,0,0,0
S27,20210514,2.0000,2.0000,2.0000,2.0000,8709,2.0000,2.0000,2.0000,2.0000,0,0,0
S27,20210507,2.3000,2.3000,2.3000,2.3000,1300,2.3000,2.3000,2.3000,2.3000,0,0,0
S27,20210423,2.7000,2.7000,2.7000,2.7000,1500,2.7000,2.7000,2.7000,2.7000,0,0,0
S27,20210416,3.1000,4.0000,3.1000,4.0000,12600,3.1000,4.0000,3.1000,4.0000,0,0,0
S27,20210409,3.2000,3.7000,3.2000,3.7000,3100,3.2000,3.7000,3.2000,3.7000,0,0,0
S27,20210402,3.7000,3.7000,3.7000,3.7000,4300,3.7000,3.7000,3.7000,3.7000,0,0,0
S27,20210319,5.0000,5.0000,5.0000,5.0000,1200,5.0000,5.0000,5.0000,5.0000,0,0,0
S27,20210219,0.0000,5.8000,5.8000,5.8000,100,0.0000,5.8000,5.8000,5.8000,0,0,0
S27,20201225,5.1000,5.1000,5.1000,5.1000,100,5.1000,5.1000,5.1000,5.1000,0,0,0
S27,20201218,4.6000,4.6000,4.6000,4.6000,100,4.6000,4.6000,4.6000,4.6000,0,0,0
S27,20201127,5.4000,5.4000,5.4000,5.4000,100,5.4000,5.4000,5.4000,5.4000,0,0,0
S27,20201023,3.9000,3.9000,3.9000,3.9000,1,3.9000,3.9000,3.9000,3.9000,0,0,0
S27,20200522,3.9000,3.9000,3.9000,3.9000,1000,3.9000,3.9000,3.9000,3.9000,0,0,0
S27,20200508,4.5000,4.5000,4.5000,4.5000,1000,4.5000,4.5000,4.5000,4.5000,0,0,0
S27,20200424,5.2000,5.2000,5.2000,5.2000,100,5.2000,5.2000,5.2000,5.2000,0,0,0
S27,20200207,4.6000,4.6000,4.6000,4.6000,100,4.6000,4.6000,4.6000,4.6000,0,0,0
S27,20191025,4.0000,4.0000,4.0000,4.0000,100,4.0000,4.0000,4.0000,4.0000,0,0,0
S27,20190412,3.0000,3.5000,3.0000,3.5000,4200,3.0000,3.5000,3.0000,3.5000,0,0,0
S27,20181228,3.5000,3.5000,3.5000,3.5000,500,3.5000,3.5000,3.5000,3.5000,0,0,0
S27,20180209,5.8000,5.8000,5.8000,5.8000,100,5.8000,5.8000,5.8000,5.8000,0,0,0
S27,20170707,4.2000,4.2000,4.2000,4.2000,100,4.2000,4.2000,4.2000,4.2000,0,0,0
S27,20161111,6.9000,6.9000,6.9000,6.9000,100,6.9000,6.9000,6.9000,6.9000,0,0,0
S27,20160722,8.1000,8.1000,8.1000,8.1000,100,8.1000,8.1000,8.1000,8.1000,0,0,0
S27,20160512,9.5000,9.5000,9.5000,9.5000,100,9.5000,9.5000,9.5000,9.5000,0,0,0
S27,20160331,8.3000,8.3000,8.3000,8.3000,10,8.3000,8.3000,8.3000,8.3000,0,0,0
S27,20160328,8.3000,8.3000,8.3000,8.3000,100,8.3000,8.3000,8.3000,8.3000,0,0,0
S27,20160226,10.9000,10.9000,8.5000,8.5000,200,10.9000,10.9000,8.5000,8.5000,0,0,0
S27,20160203,10.0000,10.0000,10.0000,10.0000,100,10.0000,10.0000,10.0000,10.0000,0,0,0
S27,20160202,9.0000,9.0000,9.0000,9.0000,100,9.0000,9.0000,9.0000,9.0000,0,0,0
S27,20160201,9.1000,9.1000,9.1000,9.1000,100,9.1000,9.1000,9.1000,9.1000,0,0,0
S27,20160129,8.1000,8.1000,8.1000,8.1000,100,8.1000,8.1000,8.1000,8.1000,0,0,0
S27,20160127,7.3000,7.3000,7.3000,7.3000,100,7.3000,7.3000,7.3000,7.3000,0,0,0
S27,20160125,6.5000,6.5000,6.5000,6.5000,100,6.5000,6.5000,6.5000,6.5000,0,0,0
S27,20160122,5.8000,5.8000,5.8000,5.8000,100,5.8000,5.8000,5.8000,5.8000,0,0,0
S27,20160121,4.9000,5.5000,4.9000,5.5000,200,4.9000,5.5000,4.9000,5.5000,0,0,0
S27,20160120,5.7000,5.7000,5.6000,5.7000,300,5.7000,5.7000,5.6000,5.7000,0,0,0
S27,20160119,5.2000,5.2000,5.2000,5.2000,100,5.2000,5.2000,5.2000,5.2000,0,0,0
S27,20160118,5.1000,5.1000,5.0000,5.1000,1800,5.1000,5.1000,5.0000,5.1000,0,0,0
S27,20160115,4.3000,4.5000,4.3000,4.5000,400,4.3000,4.5000,4.3000,4.5000,0,0,0
S27,20160114,4.1000,4.1000,3.8000,4.0000,600,4.1000,4.1000,3.8000,4.0000,0,0,0
S27,20160113,3.9000,4.0000,3.9000,4.0000,1700,3.9000,4.0000,3.9000,4.0000,0,0,0
S27,20160112,3.6000,3.6000,3.2000,3.5000,1000,3.6000,3.6000,3.2000,3.5000,0,0,0
S27,20160111,3.1000,3.2000,3.1000,3.1000,2700,3.1000,3.2000,3.1000,3.1000,0,0,0
S27,20160108,2.8000,2.8000,2.6000,2.8000,600,2.8000,2.8000,2.6000,2.8000,0,0,0
S27,20160107,2.5000,2.6000,2.5000,2.6000,900,2.5000,2.6000,2.5000,2.6000,0,0,0
S27,20160106,2.3000,2.3000,2.2000,2.3000,1100,2.3000,2.3000,2.2000,2.3000,0,0,0
S27,20160105,2.0000,2.0000,2.0000,2.0000,100,2.0000,2.0000,2.0000,2.0000,0,0,0
S27,20160104,1.8000,1.8000,1.8000,1.8000,300,1.8000,1.8000,1.8000,1.8000,0,0,0
S27,20151231,1.7000,1.7000,1.7000,1.7000,100,1.7000,1.7000,1.7000,1.7000,0,0,0
S27,20151230,1.6000,1.6000,1.6000,1.6000,700,1.6000,1.6000,1.6000,1.6000,0,0,0
S27,20151225,1.3000,1.6000,1.3000,1.6000,400,1.3000,1.6000,1.3000,1.6000,0,0,0
S27,20151221,1.5000,1.5000,1.5000,1.5000,100,1.5000,1.5000,1.5000,1.5000,0,0,0
S27,20151216,1.7000,1.7000,1.7000,1.7000,500,1.7000,1.7000,1.7000,1.7000,0,0,0
S27,20151215,1.7000,1.7000,1.7000,1.7000,100,1.7000,1.7000,1.7000,1.7000,0,0,0
S27,20151211,1.6000,1.6000,1.6000,1.6000,100,1.6000,1.6000,1.6000,1.6000,0,0,0
S27,20151210,1.4000,1.4000,1.4000,1.4000,700,1.4000,1.4000,1.4000,1.4000,0,0,0
S27,20151209,1.3000,1.3000,1.3000,1.3000,200,1.3000,1.3000,1.3000,1.3000,0,0,0
S27,20151208,1.2000,1.2000,1.2000,1.2000,700,1.2000,1.2000,1.2000,1.2000,0,0,0
S27,20151207,1.1000,1.1000,1.1000,1.1000,800,1.1000,1.1000,1.1000,1.1000,0,0,0
S27,20151204,1.0000,1.0000,1.0000,1.0000,300,1.0000,1.0000,1.0000,1.0000,0,0,0
S27,20151202,0.9000,0.9000,0.9000,0.9000,100,0.9000,0.9000,0.9000,0.9000,0,0,0
S27,20151201,1.1000,1.1000,0.9000,0.9000,200,1.1000,1.1000,0.9000,0.9000,0,0,0
S27,20151130,1.1000,1.1000,0.9000,0.9000,200,1.1000,1.1000,0.9000,0.9000,0,0,0
S27,20151127,0.9000,1.0000,0.9000,1.0000,1200,0.9000,1.0000,0.9000,1.0000,0,0,0
S27,20151126,0.9000,0.9000,0.9000,0.9000,100,0.9000,0.9000,0.9000,0.9000,0,0,0
S27,20151124,0.8000,0.8000,0.8000,0.8000,300,0.8000,0.8000,0.8000,0.8000,0,0,0
S27,20151120,0.9000,0.9000,0.9000,0.9000,100,0.9000,0.9000,0.9000,0.9000,0,0,0
S27,20151112,0.8000,0.8000,0.8000,0.8000,100,0.8000,0.8000,0.8000,0.8000,0,0,0
S27,20151110,0.9000,0.9000,0.9000,0.9000,100,0.9000,0.9000,0.9000,0.9000,0,0,0
S27,20151109,0.8000,0.8000,0.8000,0.8000,100,0.8000,0.8000,0.8000,0.8000,0,0,0
S27,20151106,1.0000,1.0000,0.9000,0.9000,1800,1.0000,1.0000,0.9000,0.9000,0,0,0
S27,20151029,1.0000,1.0000,1.0000,1.0000,600,1.0000,1.0000,1.0000,1.0000,0,0,0
S27,20151028,0.9000,0.9000,0.9000,0.9000,500,0.9000,0.9000,0.9000,0.9000,0,0,0
S27,20151020,0.9000,0.9000,0.9000,0.9000,900,0.9000,0.9000,0.9000,0.9000,0,0,0
S27,20151019,0.9000,0.9000,0.9000,0.9000,100,0.9000,0.9000,0.9000,0.9000,0,0,0
S27,20151016,0.9000,0.9000,0.9000,0.9000,1900,0.9000,0.9000,0.9000,0.9000,0,0,0
S27,20151015,0.8000,0.8000,0.8000,0.8000,200,0.8000,0.8000,0.8000,0.8000,0,0,0
S27,20151013,0.7000,0.7000,0.7000,0.7000,200,0.7000,0.7000,0.7000,0.7000,0,0,0
S27,20151012,0.7000,0.7000,0.7000,0.7000,500,0.7000,0.7000,0.7000,0.7000,0,0,0
S27,20151007,0.8000,0.8000,0.8000,0.8000,300,0.8000,0.8000,0.8000,0.8000,0,0,0
S27,20151001,0.7000,0.7000,0.7000,0.7000,100,0.7000,0.7000,0.7000,0.7000,0,0,0
S27,20150925,0.8000,0.8000,0.8000,0.8000,100,0.8000,0.8000,0.8000,0.8000,0,0,0
S27,20150922,0.8000,0.8000,0.8000,0.8000,100,0.8000,0.8000,0.8000,0.8000,0,0,0
S27,20150921,0.9000,0.9000,0.9000,0.9000,100,0.9000,0.9000,0.9000,0.9000,0,0,0
S27,20150918,0.9000,0.9000,0.9000,0.9000,100,0.9000,0.9000,0.9000,0.9000,0,0,0
S27,20150917,0.9000,0.9000,0.9000,0.9000,1400,0.9000,0.9000,0.9000,0.9000,0,0,0
S27,20150915,1.0000,1.0000,1.0000,1.0000,100,1.0000,1.0000,1.0000,1.0000,0,0,0
S27,20150826,1.1000,1.1000,1.1000,1.1000,100,1.1000,1.1000,1.1000,1.1000,0,0,0
S27,20150825,1.0000,1.0000,1.0000,1.0000,100,1.0000,1.0000,1.0000,1.0000,0,0,0
S27,20150817,0.9000,0.9000,0.9000,0.9000,100,0.9000,0.9000,0.9000,0.9000,0,0,0
S27,20150814,1.0000,1.0000,1.0000,1.0000,600,1.0000,1.0000,1.0000,1.0000,0,0,0
S27,20150813,1.0000,1.0000,1.0000,1.0000,400,1.0000,1.0000,1.0000,1.0000,0,0,0
S27,20150812,1.0000,1.0000,1.0000,1.0000,400,1.0000,1.0000,1.0000,1.0000,0,0,0
S27,20150811,0.9000,0.9000,0.9000,0.9000,200,0.9000,0.9000,0.9000,0.9000,0,0,0
S27,20150810,0.8000,0.8000,0.8000,0.8000,20,0.8000,0.8000,0.8000,0.8000,0,0,0
S27,20150807,0.8000,0.8000,0.8000,0.8000,100,0.8000,0.8000,0.8000,0.8000,0,0,0
S27,20150804,0.8000,1.0000,0.8000,1.0000,500,0.8000,1.0000,0.8000,1.0000,0,0,0
S27,20150731,0.9000,0.9000,0.9000,0.9000,100,0.9000,0.9000,0.9000,0.9000,0,0,0
S27,20150729,0.9000,0.9000,0.8000,0.8000,400,0.9000,0.9000,0.8000,0.8000,0,0,0
S27,20150728,0.9000,0.9000,0.8000,0.8000,200,0.9000,0.9000,0.8000,0.8000,0,0,0
S27,20150722,0.9000,0.9000,0.9000,0.9000,100,0.9000,0.9000,0.9000,0.9000,0,0,0
S27,20150721,1.0000,1.0000,1.0000,1.0000,100,1.0000,1.0000,1.0000,1.0000,0,0,0
S27,20150717,1.1000,1.1000,1.0000,1.0000,300,1.1000,1.1000,1.0000,1.0000,0,0,0
S27,20150716,1.1000,1.1000,1.1000,1.1000,100,1.1000,1.1000,1.1000,1.1000,0,0,0
S27,20150714,1.2000,1.2000,1.2000,1.2000,100,1.2000,1.2000,1.2000,1.2000,15000,0,0
S27,20150710,1.2000,1.2000,1.2000,1.2000,100,1.2000,1.2000,1.2000,1.2000,0,0,0
S27,20150706,1.1000,1.1000,1.1000,1.1000,1000,1.1000,1.1000,1.1000,1.1000,0,0,0
S27,20150703,1.0000,1.0000,1.0000,1.0000,400,1.0000,1.0000,1.0000,1.0000,0,0,0
S27,20150702,0.9000,0.9000,0.9000,0.9000,100,0.9000,0.9000,0.9000,0.9000,0,0,0
S27,20150701,0.7000,0.9000,0.7000,0.9000,200,0.7000,0.9000,0.7000,0.9000,0,0,0
S27,20150630,0.8000,0.8000,0.8000,0.8000,100,0.8000,0.8000,0.8000,0.8000,0,0,0
S27,20150629,0.9000,0.9000,0.9000,0.9000,300,0.9000,0.9000,0.9000,0.9000,0,0,0
S27,20150626,0.8000,0.8000,0.8000,0.8000,100,0.8000,0.8000,0.8000,0.8000,0,0,0
S27,20150624,0.9000,1.0000,0.9000,1.0000,400,0.9000,1.0000,0.9000,1.0000,0,0,0
S27,20150619,1.0000,1.0000,1.0000,1.0000,1100,1.0000,1.0000,1.0000,1.0000,0,0,0
S27,20150617,1.0000,1.0000,1.0000,1.0000,2200,1.0000,1.0000,1.0000,1.0000,0,0,0
S27,20150611,1.0000,1.0000,1.0000,1.0000,600,1.0000,1.0000,1.0000,1.0000,0,0,0
S27,20150608,0.9000,0.9000,0.9000,0.9000,100,0.9000,0.9000,0.9000,0.9000,0,0,0
S27,20150529,0.8000,0.8000,0.8000,0.8000,1500,0.8000,0.8000,0.8000,0.8000,0,0,0
S27,20150513,0.9000,0.9000,0.9000,0.9000,100,0.9000,0.9000,0.9000,0.9000,0,0,0
S27,20150508,1.0000,1.0000,1.0000,1.0000,100,1.0000,1.0000,1.0000,1.0000,0,0,0
S27,20150506,1.1000,1.1000,1.1000,1.1000,100,1.1000,1.1000,1.1000,1.1000,0,0,0
S27,20150504,1.2000,1.2000,1.2000,1.2000,100,1.2000,1.2000,1.2000,1.2000,0,0,0
S27,20150427,1.3000,1.3000,1.3000,1.3000,100,1.3000,1.3000,1.3000,1.3000,0,0,0
S27,20150421,1.4000,1.4000,1.4000,1.4000,100,1.4000,1.4000,1.4000,1.4000,0,0,0
S27,20150420,1.5000,1.5000,1.5000,1.5000,100,1.5000,1.5000,1.5000,1.5000,0,0,0
S27,20150306,2.4000,2.4000,2.4000,2.4000,100,2.4000,2.4000,2.4000,2.4000,0,0,0
S27,20150302,2.2000,2.2000,2.2000,2.2000,100,2.2000,2.2000,2.2000,2.2000,0,0,0
S27,20150227,2.0000,2.0000,2.0000,2.0000,100,2.0000,2.0000,2.0000,2.0000,0,0,0
S27,20150226,1.9000,1.9000,1.9000,1.9000,100,1.9000,1.9000,1.9000,1.9000,0,0,0
S27,20150129,1.8000,1.8000,1.8000,1.8000,200,1.8000,1.8000,1.8000,1.8000,0,0,0
S27,20150126,1.8000,1.8000,1.8000,1.8000,100,1.8000,1.8000,1.8000,1.8000,0,0,0
S27,20150122,1.8000,1.8000,1.8000,1.8000,1300,1.8000,1.8000,1.8000,1.8000,0,0,0
S27,20150113,1.8000,1.8000,1.8000,1.8000,100,1.8000,1.8000,1.8000,1.8000,0,0,0
S27,20150109,1.7000,1.7000,1.7000,1.7000,100,1.7000,1.7000,1.7000,1.7000,0,0,0
S27,20150108,1.6000,1.6000,1.6000,1.6000,100,1.6000,1.6000,1.6000,1.6000,0,0,0
S27,20150107,1.5000,1.5000,1.5000,1.5000,100,1.5000,1.5000,1.5000,1.5000,0,0,0
S27,20150106,1.3000,1.4000,1.3000,1.4000,600,1.3000,1.4000,1.3000,1.4000,0,0,0
S27,20150105,1.4000,1.4000,1.4000,1.4000,200,1.4000,1.4000,1.4000,1.4000,0,0,0
S27,20141231,1.5000,1.5000,1.5000,1.5000,200,1.5000,1.5000,1.5000,1.5000,0,0,0
S27,20141230,1.6000,1.6000,1.6000,1.6000,200,1.6000,1.6000,1.6000,1.6000,0,0,0
S27,20141229,1.7000,1.7000,1.7000,1.7000,100,1.7000,1.7000,1.7000,1.7000,0,0,0
S27,20141226,1.6000,1.6000,1.6000,1.6000,500,1.6000,1.6000,1.6000,1.6000,0,0,0
S27,20141225,1.7000,1.7000,1.7000,1.7000,500,1.7000,1.7000,1.7000,1.7000,0,0,0
S27,20141224,1.8000,1.8000,1.8000,1.8000,200,1.8000,1.8000,1.8000,1.8000,0,0,0
S27,20141223,1.9000,1.9000,1.9000,1.9000,600,1.9000,1.9000,1.9000,1.9000,0,0,0
S27,20141222,2.0000,2.1000,2.0000,2.1000,1500,2.0000,2.1000,2.0000,2.1000,0,0,0
S27,20141219,2.0000,2.0000,2.0000,2.0000,300,2.0000,2.0000,2.0000,2.0000,0,0,0
S27,20141218,2.2000,2.2000,2.2000,2.2000,100,2.2000,2.2000,2.2000,2.2000,0,0,0
S27,20141217,2.4000,2.4000,2.4000,2.4000,100,2.4000,2.4000,2.4000,2.4000,0,0,0
S27,20141203,2.6000,2.6000,2.6000,2.6000,200,2.6000,2.6000,2.6000,2.6000,0,0,0
S27,20141128,3.0000,3.0000,2.8000,2.8000,600,3.0000,3.0000,2.8000,2.8000,0,0,0
S27,20141127,2.8000,2.8000,2.8000,2.8000,3300,2.8000,2.8000,2.8000,2.8000,0,0,0
S27,20130513,1.0000,1.0000,1.0000,1.0000,1200,1.0000,1.0000,1.0000,1.0000,0,0,0
S27,20130509,1.1000,1.1000,1.1000,1.1000,3000,1.1000,1.1000,1.1000,1.1000,0,0,100
S27,20130508,1.2000,1.2000,1.2000,1.2000,200,1.2000,1.2000,1.2000,1.2000,0,0,0
S27,20130425,1.3000,1.3000,1.3000,1.3000,1000,1.3000,1.3000,1.3000,1.3000,0,0,0
S27,20130417,1.4000,1.4000,1.4000,1.4000,100,1.4000,1.4000,1.4000,1.4000,0,0,0
S27,20130408,1.4000,1.4000,1.4000,1.4000,500,1.4000,1.4000,1.4000,1.4000,0,0,0
S27,20130404,1.4000,1.4000,1.4000,1.4000,500,1.4000,1.4000,1.4000,1.4000,0,0,0
S27,20130401,1.5000,1.5000,1.5000,1.5000,100,1.5000,1.5000,1.5000,1.5000,0,0,0
S27,20130329,1.6000,1.6000,1.6000,1.6000,1500,1.6000,1.6000,1.6000,1.6000,0,0,0
S27,20130328,1.7000,1.7000,1.7000,1.7000,1000,1.7000,1.7000,1.7000,1.7000,0,0,0
S27,20130326,1.8000,1.8000,1.8000,1.8000,2100,1.8000,1.8000,1.8000,1.8000,0,0,0
S27,20130325,2.0000,2.0000,2.0000,2.0000,1000,2.0000,2.0000,2.0000,2.0000,0,0,0
S27,20130320,2.2000,2.2000,2.2000,2.2000,1000,2.2000,2.2000,2.2000,2.2000,0,0,0
S27,20130319,2.4000,2.4000,2.4000,2.4000,1000,2.4000,2.4000,2.4000,2.4000,0,0,0
S27,20130312,2.6000,2.6000,2.6000,2.6000,300,2.6000,2.6000,2.6000,2.6000,0,0,0
S27,20130220,2.5000,2.5000,2.5000,2.5000,200,2.5000,2.5000,2.5000,2.5000,0,0,0
S27,20130128,2.6000,2.6000,2.6000,2.6000,1100,2.6000,2.6000,2.6000,2.6000,0,0,0
S27,20130117,2.4000,2.4000,2.4000,2.4000,5800,2.4000,2.4000,2.4000,2.4000,0,0,0
S27,20130102,2.3000,2.3000,2.3000,2.3000,200,2.3000,2.3000,2.3000,2.3000,0,0,0
S27,20121228,2.2000,2.2000,2.2000,2.2000,200,2.2000,2.2000,2.2000,2.2000,0,0,0
S27,20121227,2.0000,2.1000,2.0000,2.1000,300,2.0000,2.1000,2.0000,2.1000,0,0,0
S27,20121213,2.0000,2.0000,2.0000,2.0000,200,2.0000,2.0000,2.0000,2.0000,0,0,0
S27,20121212,1.9000,1.9000,1.9000,1.9000,400,1.9000,1.9000,1.9000,1.9000,0,0,0
S27,20121203,2.0000,2.0000,2.0000,2.0000,100,2.0000,2.0000,2.0000,2.0000,0,0,0
S27,20121130,2.1000,2.1000,2.1000,2.1000,300,2.1000,2.1000,2.1000,2.1000,0,0,0
S27,20120829,2.2000,2.2000,2.2000,2.2000,200,2.2000,2.2000,2.2000,2.2000,0,0,0
S27,20120815,2.1000,2.1000,2.1000,2.1000,100,2.1000,2.1000,2.1000,2.1000,0,0,0
S27,20120806,2.2000,2.2000,2.2000,2.2000,1000,2.2000,2.2000,2.2000,2.2000,0,0,0
S27,20120801,2.2000,2.2000,2.2000,2.2000,1000,2.2000,2.2000,2.2000,2.2000,0,0,0
S27,20120730,2.2000,2.2000,2.2000,2.2000,7700,2.2000,2.2000,2.2000,2.2000,0,0,0
S27,20120726,2.3000,2.3000,2.3000,2.3000,300,2.3000,2.3000,2.3000,2.3000,0,0,0
S27,20120713,2.4000,2.4000,2.4000,2.4000,1200,2.4000,2.4000,2.4000,2.4000,0,0,0
