<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VBH,20210611,9.8000,9.8000,9.8000,9.8000,100,9.8000,9.8000,9.8000,9.8000,0,0,0
VBH,20210527,9.3000,9.3000,9.3000,9.3000,300,9.3000,9.3000,9.3000,9.3000,0,0,0
VBH,20210526,8.1000,8.1000,8.1000,8.1000,100,8.1000,8.1000,8.1000,8.1000,0,0,0
VBH,20210524,8.1000,8.1000,8.1000,8.1000,500,8.1000,8.1000,8.1000,8.1000,0,0,0
VBH,20210520,8.1000,8.1000,8.1000,8.1000,300,8.1000,8.1000,8.1000,8.1000,0,0,0
VBH,20210517,9.0000,9.0000,9.0000,9.0000,1000,9.0000,9.0000,9.0000,9.0000,0,0,0
VBH,20210429,10.0000,10.0000,10.0000,10.0000,400,10.0000,10.0000,10.0000,10.0000,0,0,0
VBH,20210420,11.2000,11.2000,11.0000,11.0000,400,11.2000,11.2000,11.0000,11.0000,0,0,0
VBH,20210412,11.3000,11.3000,11.2000,11.3000,800,11.3000,11.3000,11.2000,11.3000,0,0,0
VBH,20210409,0.0000,11.3000,11.3000,11.3000,100,0.0000,11.3000,11.3000,11.3000,0,0,0
VBH,20210406,11.3000,11.3000,11.3000,11.3000,100,11.3000,11.3000,11.3000,11.3000,0,0,0
VBH,20210401,12.0000,12.0000,11.1000,11.1000,900,12.0000,12.0000,11.1000,11.1000,0,0,0
VBH,20210331,12.0000,12.0000,12.0000,12.0000,400,12.0000,12.0000,12.0000,12.0000,0,0,0
VBH,20210330,11.0000,13.0000,11.0000,13.0000,500,11.0000,13.0000,11.0000,13.0000,0,0,0
VBH,20210329,12.8000,12.8000,12.8000,12.8000,600,12.8000,12.8000,12.8000,12.8000,0,0,0
VBH,20210322,14.4000,14.4000,14.4000,14.4000,400,14.4000,14.4000,14.4000,14.4000,0,0,0
VBH,20210318,14.4000,14.4000,14.4000,14.4000,1400,14.4000,14.4000,14.4000,14.4000,0,0,0
VBH,20210317,14.0000,14.0000,13.9000,13.9000,900,14.0000,14.0000,13.9000,13.9000,0,0,0
VBH,20210316,12.9000,12.9000,12.9000,12.9000,300,12.9000,12.9000,12.9000,12.9000,0,0,0
VBH,20210312,11.2000,12.9000,9.8000,12.9000,600,11.2000,12.9000,9.8000,12.9000,0,0,0
VBH,20210311,13.1000,13.1000,11.2000,11.2000,2100,13.1000,13.1000,11.2000,11.2000,0,0,0
VBH,20210309,13.1000,13.1000,13.1000,13.1000,2100,13.1000,13.1000,13.1000,13.1000,0,0,0
VBH,20210308,15.3000,15.3000,15.3000,15.3000,122,15.3000,15.3000,15.3000,15.3000,0,0,0
VBH,20210304,18.0000,18.0000,18.0000,18.0000,1300,18.0000,18.0000,18.0000,18.0000,0,0,0
VBH,20200818,25.0000,45.1000,25.0000,45.1000,400,25.0000,45.1000,25.0000,45.1000,0,0,0
VBH,20200422,35.6000,35.6000,35.6000,35.6000,100,35.6000,35.6000,35.6000,35.6000,0,0,0
VBH,20200324,31.0000,31.0000,31.0000,31.0000,500,31.0000,31.0000,31.0000,31.0000,0,0,0
VBH,20190814,26.0000,26.0000,26.0000,26.0000,200,26.0000,26.0000,26.0000,26.0000,0,0,0
VBH,20190802,25.9000,25.9000,25.9000,25.9000,100,25.9000,25.9000,25.9000,25.9000,0,0,0
VBH,20190529,43.1000,43.1000,43.1000,43.1000,100,43.1000,43.1000,43.1000,43.1000,0,0,0
VBH,20190401,30.8000,30.8000,30.8000,30.8000,200,30.8000,30.8000,30.8000,30.8000,0,0,0
VBH,20190305,26.8000,26.8000,26.8000,26.8000,200,26.8000,26.8000,26.8000,26.8000,0,0,0
VBH,20181101,19.2000,19.2000,19.2000,19.2000,100,19.2000,19.2000,19.2000,19.2000,0,0,0
VBH,20181012,16.7000,16.7000,16.7000,16.7000,100,16.7000,16.7000,16.7000,16.7000,0,0,0
VBH,20180905,18.5000,18.5000,9.9000,18.5000,800,18.5000,18.5000,9.9000,18.5000,0,0,0
VBH,20180727,16.5000,16.5000,16.5000,16.5000,100,16.5000,16.5000,16.5000,16.5000,0,0,0
VBH,20180716,14.4000,14.4000,14.4000,14.4000,100,14.4000,14.4000,14.4000,14.4000,0,0,0
VBH,20180713,12.6000,12.6000,12.6000,12.6000,100,12.6000,12.6000,12.6000,12.6000,0,0,0
VBH,20180711,11.0000,11.0000,11.0000,11.0000,100,11.0000,11.0000,11.0000,11.0000,0,0,0
VBH,20180710,10.0000,10.0000,10.0000,10.0000,100,10.0000,10.0000,10.0000,10.0000,0,0,0
VBH,20180706,8.4000,9.6000,8.4000,9.6000,300,8.4000,9.6000,8.4000,9.6000,0,0,0
VBH,20180704,9.0000,9.2000,7.1000,9.2000,300,9.0000,9.2000,7.1000,9.2000,0,0,0
VBH,20180703,8.3000,9.3000,7.1000,9.3000,500,8.3000,9.3000,7.1000,9.3000,0,0,0
VBH,20180702,8.3000,8.3000,8.3000,8.3000,100,8.3000,8.3000,8.3000,8.3000,0,0,0
VBH,20180629,7.7000,7.7000,6.6000,7.6000,300,7.7000,7.7000,6.6000,7.6000,0,0,0
VBH,20180628,7.5000,8.6000,6.4000,6.4000,1500,7.5000,8.6000,6.4000,6.4000,0,0,0
VBH,20180627,7.9000,7.9000,6.8000,7.8000,300,7.9000,7.9000,6.8000,7.8000,0,0,0
VBH,20180626,7.9000,7.9000,7.9000,7.9000,100,7.9000,7.9000,7.9000,7.9000,0,0,0
VBH,20180625,7.9000,7.9000,7.9000,7.9000,100,7.9000,7.9000,7.9000,7.9000,0,0,0
VBH,20180622,7.7000,7.7000,5.7000,7.7000,500,7.7000,7.7000,5.7000,7.7000,0,0,0
VBH,20180621,6.7000,6.7000,6.7000,6.7000,100,6.7000,6.7000,6.7000,6.7000,0,0,0
